sku,categoria_str,categoria_id,img_caratula,precio_intercambio,titulo,precio_compra,precio_venta
8431474003723,PC,830,/product_images/defimg1_s.jpg,0.40,Need For Speed: Porsche 2000,0.20,1.50
8436010150671,PC,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.90,Imperium III,0.40,3.00
8436010150572,PC,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.30,Imperium II,0.10,1.00
3307210181862,PC,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.10,Splinter Cell,0.01,0.50
5060193302294,PC,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.60,Warhammer 40000 - Armageddon (SN),0.30,2.00
8414606866984,PC,830,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,0.30,Skyhill,0.20,1.00
8436010150398,PC,830,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.01,"Runaway, A Road To Adventure",0.01,0.10
8431474001200,PC,830,/product_images/defimg1_s.jpg,0.30,Classic Games Collection,0.10,1.00
3307211657861,PC,830,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,0.30,Call of Juarez: Bound in Blood,0.10,1.00
8436016710787,PC,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,Blackguards,0.10,1.00
8436010150275,PC,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,Imperium,0.20,1.50
8414606866977,PC,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.60,Stasis,0.30,2.00
8431474002832,PC,830,/product_images/defimg4_s.jpg,0.50,Cine Gramas,0.30,1.50
8436010150909,PC,830,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,0.01,Pro Race Driver,0.01,0.25
8414185050408,PC,830,/product_images/Juegos/PC Juegos/8414185050408_s.jpg,0.01,Los Sims Primera Cita (SN) 1cd,0.01,0.10
5026555410267,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,Grand Theft Auto V (5),6.00,15.00
5030937112373,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,2.00,FIFA 15,1.60,7.00
5030917111761,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,4.00,Call Of Duty: Black Ops II,2.00,12.00
5030917126116,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,Call Of Duty: Ghosts,2.00,5.00
5030917096808,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,Call Of Duty: Modern Warfare 3,2.00,5.00
5030933111103,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,FIFA 14,0.30,2.00
5030917085802,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,Call Of Duty: Black Ops,3.00,7.00
5026555400251,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,Grand Theft Auto IV,2.00,6.00
5030946112869,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,FIFA 16,5.00,22.00
5030934109680,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.10,FIFA 13,0.01,0.50
711719190059,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,1.90,Gran Turismo 5,1.20,5.00
711719123996,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,5.00,Uncharted 3: Traicion de Drake,3.00,8.00
711719412915,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,7.00,Minecraft,5.00,12.00
0711719274551,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,12.00,Last Of Us,9.00,20.00
3307215644867,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,5.00,Assassin's Creed III (3),3.00,8.00
5055377602352,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,3.00,Space Hulk,2.00,6.00
711719200628,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,11.00,Uncharted: Golden Abyss,8.00,18.00
5030934109901,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.50,FIFA 13,0.90,4.00
5030934109192,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,9.00,Need For Speed: Most Wanted 12,7.00,15.00
3307215652312,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,9.00,Assassin's Creed III (3): Liberation,7.00,15.00
711719438519,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,11.00,Minecraft,8.00,18.00
711719287667,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.90,Invizimals - La Alianza,1.20,5.00
711719200147,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,11.00,Resistance: Burning Skies,8.00,18.00
5021290057791,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,Final Fantasy X HD Only,9.00,20.00
5055377602314,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,3.00,XBlaze Code : Embryo,2.00,6.00
711719241638,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,9.00,Gravity Rush,7.00,15.00
5051893165036,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5051893165036_s.jpg,4.00,Lego Movie: The Videogame,3.00,7.00
5051893143447,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,9.00,Lego Marvel Superheroes,7.00,15.00
711719251163,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,11.00,Killzone Mercenary,8.00,18.00
4020628900403,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,7.00,Aventuras De Tadeo Jones,5.00,12.00
5026555280143,PSP,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,Grand Theft Auto: Liberty City Stories,1.00,5.00
5026555280785,PSP,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,Grand Theft Auto Vice City Stories,1.00,5.00
711719151159,PSP,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,Gran Turismo,0.40,3.00
711719651888,PSP,862,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,Ratchet & Clank: El Tamano Importa,0.40,3.00
3307211667679,PSP,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,Assassin's Creed: Bloodlines,1.00,5.00
4012927063354,PSP,862,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,0.10,Pro Evolution Soccer 2009,0.01,0.50
711719908128,PSP,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,God of War: Chains of Olympus,0.40,3.00
8414646244995,PSP,862,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.10,Invizimals: Las tribus perdidas,0.01,0.50
3296580803354,PSP,862,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,1.80,Dragon Ball Z Shin Budokai 2,1.00,5.00
711719169772,PSP,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.01,Invizimals La Otra Dimension (Solo Juego,0.01,0.25
5030934109888,PSP,862,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,1.50,FIFA 13,0.70,5.00
3307210205292,PSP,862,/product_images/Juegos/PSP Juegos/3307210205292_s.jpg,0.60,Prince Of Persia Revelations,0.30,2.00
5030947111403,PSP,862,/product_images/Juegos/PSP Juegos/5030947111403_s.jpg,2.00,FIFA 14,1.20,8.00
711719646266,PSP,862,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,Daxter,0.40,3.00
711719143451,PSP,862,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,0.70,Little Big Planet,0.30,2.50
045496365202,Wii,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,Mario Kart Wii (Solo Juego),8.00,18.00
045496368098,Wii,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,New Super Mario Bros. Wii,11.00,25.00
045496362201,Wii,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,3.00,Wii Play (solo juego),2.00,6.00
045496367473,Wii,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,Wii Sports Resort (Solo Juego),6.00,15.00
045496363932,Wii,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,Super Mario Galaxy,6.00,15.00
045496365899,Wii,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,Super Smash Bros. Brawl,6.00,15.00
045496362102,Wii,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,Wii Sports (Solo Juego),2.00,5.00
045496368869,Wii,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,Super Mario Galaxy 2,9.00,22.00
045496362393,Wii,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,Legend of Zelda: Twilight Princess,5.00,12.00
5030933111424,Wii,831,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,3.00,FIFA 14,2.00,6.00
045496400736,Wii,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,Legend of Zelda: Skyward Sword,9.00,22.00
045496367916,Wii,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,3.00,Wii Fit Plus (Solo Juego),2.00,5.00
045496333288,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,Mario Kart 8,12.00,28.00
045496332785,Wii U,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,17.00,Super Mario 3D World,12.00,28.00
045496333621,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,Super Smash Bros,14.00,32.00
045496331207,Wii U,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,New Super Mario Bros. U,6.00,15.00
045496331085,Wii U,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,Nintendo Land,5.00,12.00
045496334475,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,17.00,Splatoon,12.00,28.00
045496335489,Wii U,996,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,17.00,Legend Of Zelda: Twilight Princess HD,12.00,28.00
0045496332716,Wii U,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,Donkey Kong Country: Tropical Freeze,9.00,20.00
5030917114014,Wii U,996,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,4.00,Call Of Duty: Black Ops II,3.00,7.00
045496334987,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,Super Mario Maker,13.00,30.00
3307215654293,Wii U,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,ZombiU,3.00,8.00
045496332198,Wii U,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,11.00,New Super Mario Bros. U & Super Luigi U,8.00,18.00
045496334697,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,17.00,Yoshi's Woolly World,12.00,28.00
045496333713,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,13.00,Bayonetta 2,9.00,22.00
045496332839,Wii U,996,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,12.00,Wii Party U (Solo Juego),9.00,20.00
5026555258098,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,11.00,Grand Theft Auto V (5) 2 Disco,8.00,18.00
5030917111679,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,Call Of Duty: Black Ops II,6.00,15.00
5030949111104,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,FIFA 14,2.00,6.00
5026555245968,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,3.00,Grand Theft Auto IV,2.00,6.00
5030917085864,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,6.00,Call Of Duty: Black Ops,4.00,10.00
0885370606515,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,11.00,Minecraft,8.00,18.00
5035228112377,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,7.00,FIFA 15,5.00,12.00
5055060963852,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,3.00,Resident Evil 6 *2 Disc*,2.00,6.00
882224721141,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,3.00,Gears of War 2,2.00,5.00
882224260145,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,1.50,Gears of War,0.90,4.00
882224918343,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,1.50,Forza Motorsport 3 (2 Discos),0.90,4.00
5030938112877,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,17.00,FIFA 16,12.00,28.00
5030917096891,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,Call Of Duty: Modern Warfare 3,3.00,8.00
5055060961612,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5055060961612_s.jpg,3.00,Resident Evil 5,2.00,5.00
5030917181863,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,18.00,Call Of Duty: Black Ops III,13.00,28.00
5030937116425,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,30.00,FIFA 17,25.00,45.00
0889842121575,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,24.00,Gears of War 4,18.00,38.00
5035228113763,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,26.00,Battlefield 1,19.00,40.00
5026555284127,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,26.00,Grand Theft Auto V (5),19.00,40.00
5030917147791,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,4.00,Call Of Duty: Advanced Warfare,2.00,12.00
885370662023,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,11.00,Forza Motorsport 5,8.00,18.00
85370663983,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,9.00,Dead Rising 3,7.00,15.00
889842148671,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,27.00,Dead Rising 4,20.00,42.00
4020628868543,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,9.00,Homefront: The Revolution,7.00,15.00
5030934111362,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,1.50,Titanfall,0.90,4.00
5021290073081,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,29.00,Final Fantasy XV,21.00,45.00
