categoria_id,categoria_str,precio_venta,sku,precio_compra,img_caratula,precio_intercambio,titulo
830,PC,2.00,8436016710770,0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.70,"Whispered World, The - Edición Especial"
830,PC,1.00,5060193302294,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,Warhammer 40000 - Armageddon (SN)
830,PC,12.00,3760156481111,2.00,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,4.00,Yesterday Origins (P)
830,PC,1.00,8414606866977,0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,Stasis
830,PC,5.00,740781770142,1.20,/product_images/Juegos/PC Juegos/740781770142_s.jpg,1.90,Divinity: Original Sin (P)
830,PC,3.50,8436010150671,0.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,1.00,Imperium III
830,PC,0.25,3307210181862,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,Splinter Cell
830,PC,1.00,8436016710787,0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,Blackguards
830,PC,0.15,4260089416710,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,Crookz: The Big Heist (P)
830,PC,0.75,8431474003723,0.10,/product_images/defimg4_s.jpg,0.20,Need For Speed: Porsche 2000
830,PC,0.25,8420266991255,0.01,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.01,"Longest Journey, The (4 Discs)"
830,PC,0.75,5055060972328,0.10,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,0.20,Duck Tales Remastered
830,PC,1.50,8436010150275,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,Imperium
830,PC,12.00,8414185051528,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,4.00,Los Sims 2 (SN)
830,PC,15.00,3760156480831,3.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,5.00,Moto Racer 4 (P)
821,PlayStation 3,18.00,5026555410267,8.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,11.00,Grand Theft Auto V (5)
821,PlayStation 3,4.00,5030917096808,1.80,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,Call Of Duty: Modern Warfare 3
821,PlayStation 3,4.00,5030917070990,1.80,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00,Call of Duty: Modern Warfare 2
821,PlayStation 3,15.00,5030917111761,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5.00,Call Of Duty: Black Ops II
