precio_venta,categoria_id,img_caratula,precio_intercambio,precio_compra,categoria_str,sku,titulo
2.00,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.70,0.40,PC,8436016710770,"Whispered World, The - Edición Especial"
0.15,830,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,0.01,PC,4260089416710,Crookz: The Big Heist (P)
1.00,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,0.10,PC,8414606866977,Stasis
0.25,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,0.01,PC,3307210181862,Splinter Cell
0.75,830,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,0.20,0.10,PC,8436010154587,Caos En Deponia
1.00,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,0.10,PC,5060193302294,Warhammer 40000 - Armageddon (SN)
0.50,830,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,0.01,PC,3307210220134,Splinter Cell Chaos Theory
0.75,830,/product_images/Juegos/PC Juegos/8436010154037_s.jpg,0.20,0.10,PC,8436010154037,"Fuga De Deponia, La"
0.75,830,/product_images/Juegos/PC Juegos/5060193302485_s.jpg,0.20,0.10,PC,5060193302485,Order of batlle Pacific (P)
0.75,830,/product_images/defimg1_s.jpg,0.20,0.10,PC,8431474003723,Need For Speed: Porsche 2000
0.10,830,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,0.01,0.01,PC,3307210136817,CSI: Crime Scene Investigation
1.50,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,0.20,PC,8436010150275,Imperium
1.50,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.40,0.20,PC,8436010150572,Imperium II
4.00,830,/product_images/Juegos/PC Juegos/3307210243874_s.jpg,1.50,0.90,PC,3307210243874,Age of Mythology Gold Edition
1.00,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,0.10,PC,8436016710787,Blackguards
15.00,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,6.00,PlayStation 3,5026555410267,Grand Theft Auto V (5)
12.00,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,4.00,2.00,PlayStation 3,5030917111761,Call Of Duty: Black Ops II
5.00,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,2.00,PlayStation 3,5030917096808,Call Of Duty: Modern Warfare 3
7.00,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,3.00,PlayStation 3,5030917085802,Call Of Duty: Black Ops
6.00,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,2.00,PlayStation 3,5026555400251,Grand Theft Auto IV
7.00,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,2.00,1.60,PlayStation 3,5030937112373,FIFA 15
5.00,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,2.00,PlayStation 3,5030917126116,Call Of Duty: Ghosts
2.00,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,0.30,PlayStation 3,5030933111103,FIFA 14
8.00,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,5.00,3.00,PlayStation 3,711719123996,Uncharted 3: Traicion de Drake
25.00,821,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg,15.00,11.00,PlayStation 3,5030917162459,Call Of Duty: Black Ops III
5.00,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,1.90,1.20,PlayStation 3,711719190059,Gran Turismo 5
22.00,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,5.00,PlayStation 3,5030946112869,FIFA 16
12.00,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,7.00,5.00,PlayStation 3,5030917147906,Call Of Duty: Advanced Warfare
0.50,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.10,0.01,PlayStation 3,5030934109680,FIFA 13
12.00,821,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,7.00,5.00,PlayStation 3,3307215793299,Far Cry 4
12.00,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,5.00,PlayStation Vita,3307215652312,Assassin's Creed III (3): Liberation
20.00,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,13.00,9.00,PlayStation Vita,711719438519,Minecraft
15.00,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,9.00,7.00,PlayStation Vita,711719200628,Uncharted: Golden Abyss
22.00,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,10.00,PlayStation Vita,5030917114083,Call of Duty Black Ops- Declassified
5.00,990,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,3.00,2.00,PlayStation Vita,5055377602314,XBlaze Code : Embryo
35.00,990,/product_images/defimg1_s.jpg,22.00,16.00,PlayStation Vita,635131948381,Fate/Extella: The Umbral Star
22.00,990,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,14.00,10.00,PlayStation Vita,711719279488,God Of War Collection
18.00,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,11.00,8.00,PlayStation Vita,711719241638,Gravity Rush
5.00,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.90,1.20,PlayStation Vita,5030934109901,FIFA 13
18.00,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,11.00,8.00,PlayStation Vita,5030934109192,Need For Speed: Most Wanted 12
6.00,990,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,2.00,1.40,PlayStation Vita,711719287667,Invizimals - La Alianza
15.00,990,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,9.00,7.00,PlayStation Vita,711719200147,Resistance: Burning Skies
10.00,990,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,6.00,4.00,PlayStation Vita,711719236542,Little Big Planet
20.00,990,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,9.00,PlayStation Vita,5021290057791,Final Fantasy X HD Only
15.00,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,9.00,7.00,PlayStation Vita,711719251163,Killzone Mercenary
3.00,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,0.40,PSP,711719151159,Gran Turismo
5.00,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,1.00,PSP,5026555280785,Grand Theft Auto Vice City Stories
0.50,862,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.10,0.01,PSP,711719142058,Invizimals (Solo Juego)
5.00,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,1.00,PSP,3307211667679,Assassin's Creed: Bloodlines
0.50,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,0.01,PSP,711719169772,Invizimals La Otra Dimension (Solo Juego
5.00,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,1.00,PSP,5026555280143,Grand Theft Auto: Liberty City Stories
3.00,862,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.90,0.40,PSP,711719678250,Medievil: Resurreccion
