categoria_str,sku,precio_intercambio,precio_venta,categoria_id,titulo,img_caratula,precio_compra
PC,5060193302294,0.30,1.00,830,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.10
PC,8436016710787,0.30,1.00,830,Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.10
PC,8436010150527,0.01,0.10,830,Torrente El Juego,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.01
PC,8436010150541,0.01,0.10,830,PATRICIAN II,/product_images/defimg1_s.jpg,0.01
PC,8414606866977,0.30,1.00,830,Stasis,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.10
PC,3307210181862,0.01,0.25,830,Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01
PC,8436010150671,1.00,3.50,830,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.50
PC,3307210220134,0.10,0.50,830,Splinter Cell Chaos Theory,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.01
PC,8436010150572,0.40,1.50,830,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.20
PC,3307210153470,0.10,0.50,830,Beyond Good & Evil,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.01
PC,8431474003723,0.20,0.75,830,Need For Speed: Porsche 2000,/product_images/defimg2_s.jpg,0.10
PC,8436016710770,0.70,2.00,830,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.40
PC,3307211609143,0.20,0.75,830,Prince of Persia (2008),/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.10
PC,3307210212368,0.01,0.25,830,Prince Of Persia El Alma Del Guerrero,/product_images/Juegos/PC Juegos/3307210212368_s.jpg,0.01
PC,8414185051528,4.00,12.00,830,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00
PlayStation 3,5026555410267,11.00,18.00,821,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,8.00
PlayStation 3,5030917096808,2.00,4.00,821,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,1.80
PlayStation 3,5030917111761,5.00,15.00,821,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,3.00
PlayStation 3,5030917126116,2.00,4.00,821,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,1.80
PlayStation 3,5026555400251,3.00,5.00,821,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00
PlayStation 3,5030917085802,4.00,7.00,821,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00
PlayStation 3,5030917147906,7.00,12.00,821,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5.00
