img_caratula,sku,categoria_id,precio_intercambio,precio_compra,precio_venta,categoria_str,titulo
/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,04549646,834,20.00,14.00,32.00,Nintendo DS,Pokemon Plata SoulSilver Sin Pokewalker
/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,830,0.70,0.30,2.50,PC,Imperium III
/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,830,0.10,0.01,0.50,PC,Splinter Cell
/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,830,3.00,2.00,10.00,PC,Los Sims 2 (SN)
/product_images/Juegos/PC Juegos/5030917181603_s.jpg,5030917181603,830,22.00,15.00,35.00,PC,Call Of Duty: Black Ops III (P)
/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,830,0.60,0.30,2.00,PC,Blackguards
/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,830,0.60,0.30,2.00,PC,Stasis
/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,830,0.90,0.50,2.50,PC,"Whispered World, The - Edición Especial"
/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,830,0.30,0.10,1.00,PC,Warhammer 40000 - Armageddon (SN)
/product_images/Juegos/PC Juegos/8436010150275_s.jpg,8436010150275,830,0.40,0.20,1.50,PC,Imperium
/product_images/Juegos/PC Juegos/8436010150572_s.jpg,8436010150572,830,0.60,0.30,2.00,PC,Imperium II
/product_images/Juegos/PC Juegos/8436010151371_s.jpg,8436010151371,830,0.40,0.20,1.50,PC,Imperium Civitas
/product_images/Juegos/PC Juegos/3307211609143_s.jpg,3307211609143,830,0.10,0.01,0.50,PC,Prince of Persia (2008)
/product_images/Juegos/PC Juegos/3307210245281_s.jpg,3307210245281,830,5.00,3.00,15.00,PC,Age of Empires Collectors Edition
/product_images/Juegos/PC Juegos/8436010150930_s.jpg,8436010150930,830,0.10,0.01,0.50,PC,Panzers II (SN) 1DVD
/product_images/Juegos/PC Juegos/740781770142_s.jpg,740781770142,830,1.50,0.70,5.00,PC,Divinity: Original Sin (P)
/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,821,9.00,6.00,15.00,PlayStation 3,Grand Theft Auto V (5)
/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,821,5.00,3.00,15.00,PlayStation 3,Call Of Duty: Black Ops II
/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,821,3.00,2.00,6.00,PlayStation 3,Grand Theft Auto IV
/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,821,3.00,2.00,6.00,PlayStation 3,Call Of Duty: Modern Warfare 3
/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,821,5.00,3.00,8.00,PlayStation 3,Call Of Duty: Black Ops
/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,821,3.00,2.00,6.00,PlayStation 3,Gran Turismo 5
/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,821,3.00,2.00,6.00,PlayStation 3,Call Of Duty: Ghosts
/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,821,9.00,6.00,15.00,PlayStation 3,Call Of Duty: Advanced Warfare
/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,5030946112869,821,13.00,9.00,22.00,PlayStation 3,FIFA 16
/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,821,5.00,3.00,8.00,PlayStation 3,FIFA 15
/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,821,0.01,0.01,0.25,PlayStation 3,FIFA 13
/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,821,3.00,2.00,6.00,PlayStation 3,Call of Duty: Modern Warfare 2
/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,3307215793299,821,9.00,6.00,15.00,PlayStation 3,Far Cry 4
/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5030934102902,821,3.00,2.00,5.00,PlayStation 3,Battlefield 3
/product_images/Juegos/PS3 Juegos/5021290042377_s.jpg,5021290042377,821,3.00,2.00,6.00,PlayStation 3,Deus Ex: Human Revolution
/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,990,14.00,10.00,22.00,PlayStation Vita,Call of Duty Black Ops- Declassified
/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,990,14.00,10.00,22.00,PlayStation Vita,FIFA 15
/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,990,9.00,7.00,15.00,PlayStation Vita,Minecraft
/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5055277016259,990,11.00,8.00,18.00,PlayStation Vita,Virtua Tennis 4: Edicion World Tour
/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,990,13.00,9.00,20.00,PlayStation Vita,Uncharted: Golden Abyss
/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,990,2.00,1.40,6.00,PlayStation Vita,FIFA 13
