precio_venta,categoria_id,img_caratula,titulo,precio_compra,categoria_str,sku,precio_intercambio
32.00,834,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Pokemon Plata SoulSilver Sin Pokewalker,14.00,Nintendo DS,04549646,20.00
1.00,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),0.10,PC,5060193302294,0.30
10.00,830,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,Los Sims 2 (SN),2.00,PC,8414185051528,3.00
2.50,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,0.30,PC,8436010150671,0.70
0.50,830,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,House Of The Dead 2,0.01,PC,8436010150541,0.10
2.00,830,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,Los Sims 2 Mascotas Expansion (SN),0.30,PC,8414185032879,0.60
2.00,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,Imperium II,0.30,PC,8436010150572,0.60
1.50,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,Imperium,0.20,PC,8436010150275,0.40
0.50,830,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,Splinter Cell Chaos Theory,0.01,PC,3307210220134,0.10
0.75,830,/product_images/Juegos/PC Juegos/843601015054100001_s.jpg,Colin McRae Rally 2,0.10,PC,843601015054100001,0.20
2.50,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",0.50,PC,8436016710770,0.90
0.50,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,0.01,PC,3307210181862,0.10
0.15,830,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,Crookz: The Big Heist (P),0.01,PC,4260089416710,0.01
8.00,830,/product_images/Juegos/PC Juegos/5055856401308_s.jpg,"Elder Scrolls, The Online (P) 4 Discos",1.60,PC,5055856401308,2.00
0.50,830,/product_images/Juegos/PC Juegos/8436010150817_s.jpg,Port Royale 2 Imperio y Piratas,0.01,PC,8436010150817,0.10
15.00,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),6.00,PlayStation 3,5026555410267,9.00
6.00,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,2.00,PlayStation 3,5030917096808,3.00
15.00,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,3.00,PlayStation 3,5030917111761,5.00
15.00,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,6.00,PlayStation 3,5030917147906,9.00
6.00,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,2.00,PlayStation 3,5030917126116,3.00
8.00,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,3.00,PlayStation 3,5030917085802,5.00
6.00,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,2.00,PlayStation 3,5026555400251,3.00
8.00,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,3.00,PlayStation 3,5030937112373,5.00
