categoria_id,precio_compra,img_caratula,sku,precio_venta,titulo,categoria_str,precio_intercambio
830,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,1.00,Warhammer 40000 - Armageddon (SN),PC,0.30
830,0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,2.00,"Whispered World, The - Edición Especial",PC,0.70
830,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,0.25,Splinter Cell,PC,0.01
830,0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,1.00,Stasis,PC,0.30
830,1.20,/product_images/Juegos/PC Juegos/740781770142_s.jpg,740781770142,5.00,Divinity: Original Sin (P),PC,1.90
830,2.00,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,3760156481111,12.00,Yesterday Origins (P),PC,4.00
830,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,4260089416710,0.15,Crookz: The Big Heist (P),PC,0.01
830,0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,1.00,Blackguards,PC,0.30
830,0.10,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,5055060972328,0.75,Duck Tales Remastered,PC,0.20
830,0.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,3.50,Imperium III,PC,1.00
830,0.01,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,3307210136817,0.10,CSI: Crime Scene Investigation,PC,0.01
830,0.10,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,8414606866984,0.50,Skyhill,PC,0.10
830,0.90,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,3307210148971,4.50,Age of Empires (Gold Edition),PC,1.60
830,0.10,/product_images/defimg1_s.jpg,8431474003723,0.75,Need For Speed: Porsche 2000,PC,0.20
830,0.01,/product_images/Juegos/PC Juegos/8414185050873_s.jpg,8414185050873,0.10,Los Sims Animales A Raudales (SN) (2 CDS),PC,0.01
821,8.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,18.00,Grand Theft Auto V (5),PlayStation 3,11.00
821,1.80,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,4.00,Call Of Duty: Modern Warfare 3,PlayStation 3,2.00
821,1.80,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,4.00,Call of Duty: Modern Warfare 2,PlayStation 3,2.00
821,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,15.00,Call Of Duty: Black Ops II,PlayStation 3,5.00
821,1.80,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,4.00,Call Of Duty: Ghosts,PlayStation 3,2.00
821,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,5.00,Grand Theft Auto IV,PlayStation 3,3.00
821,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,12.00,Call Of Duty: Advanced Warfare,PlayStation 3,7.00
821,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,7.00,Call Of Duty: Black Ops,PlayStation 3,4.00
821,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,0.25,FIFA 13,PlayStation 3,0.01
821,1.90,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,8.00,FIFA 15,PlayStation 3,3.00
821,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,2.00,FIFA 14,PlayStation 3,0.60
821,1.40,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,6.00,Gran Turismo 5,PlayStation 3,2.00
821,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,10.00,Uncharted 3: Traicion de Drake,PlayStation 3,6.00
821,1.20,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5030934102902,5.00,Battlefield 3,PlayStation 3,1.90
821,3.00,/product_images/Juegos/PS3 Juegos/5030930111137_s.jpg,5030930111137,8.00,Battlefield 4,PlayStation 3,5.00
990,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,18.00,Uncharted: Golden Abyss,PlayStation Vita,11.00
990,1.40,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,6.00,FIFA 13,PlayStation Vita,2.00
990,7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,15.00,Assassin's Creed III (3): Liberation,PlayStation Vita,9.00
990,5.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,12.00,FIFA 14,PlayStation Vita,7.00
990,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,22.00,Call of Duty Black Ops- Declassified,PlayStation Vita,14.00
990,8.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,18.00,Minecraft,PlayStation Vita,11.00
990,10.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,22.00,FIFA 15,PlayStation Vita,14.00
990,8.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,18.00,Killzone Mercenary,PlayStation Vita,11.00
990,8.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,18.00,Need For Speed: Most Wanted 12,PlayStation Vita,11.00
990,8.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5055277016259,18.00,Virtua Tennis 4: Edicion World Tour,PlayStation Vita,11.00
990,1.20,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,5.00,Invizimals - La Alianza,PlayStation Vita,1.90
990,9.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,5021290057791,20.00,Final Fantasy X HD Only,PlayStation Vita,13.00
990,2.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,5055377602352,6.00,Space Hulk,PlayStation Vita,3.00
990,7.00,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,711719292852,15.00,Soul Sacrifice,PlayStation Vita,9.00
990,7.00,/product_images/Juegos/PS Vita Juegos/3307215623893_s.jpg,3307215623893,15.00,Rayman Origins,PlayStation Vita,9.00
862,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,5.00,Grand Theft Auto Vice City Stories,PSP,1.80
862,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,3.00,Gran Turismo,PSP,0.90
