img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,PlayStation 4,22.00,15.00,1001,5030917181733,35.00
/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),PlayStation 4,28.00,20.00,1001,5026555417037,45.00
/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,PlayStation 4,44.00,36.00,1001,711719825265,65.00
/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,PlayStation 4,17.00,12.00,1001,0711719454410,28.00
/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,PlayStation 4,31.00,22.00,1001,5030937116388,50.00
/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,PlayStation 4,17.00,12.00,1001,5030917197185,28.00
/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,PlayStation 4,4.00,2.00,1001,5030931112881,12.00
/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,PlayStation 4,13.00,9.00,1001,5026555421690,22.00
/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,PlayStation 4,25.00,18.00,1001,5030941113762,40.00
/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,PlayStation 4,22.00,15.00,1001,3307215966730,35.00
/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,PlayStation 4,28.00,20.00,1001,5055060900574,45.00
/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC),PlayStation 4,34.00,24.00,1001,3307215913024,55.00
/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,PlayStation 4,12.00,9.00,1001,3307215893227,20.00
/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,PlayStation 4,11.00,8.00,1001,5030934121637,18.00
/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,PlayStation 4,20.00,14.00,1001,5021290072985,32.00
/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,14.00,10.00,977,045496520830,22.00
/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,Nintendo 3DS,14.00,10.00,977,045496526320,22.00
/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,Nintendo 3DS,22.00,16.00,977,045496473464,35.00
/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,Nintendo 3DS,24.00,18.00,977,0045496473358,38.00
/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,Nintendo 3DS,14.00,10.00,977,045496524227,22.00
/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,Nintendo 3DS,19.00,14.00,977,045496521233,30.00
/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,Nintendo 3DS,19.00,14.00,977,045496521301,30.00
/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,Nintendo 3DS,20.00,15.00,977,045496523848,32.00
/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,Nintendo 3DS,18.00,13.00,977,045496526313,28.00
/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,Nintendo 3DS,16.00,12.00,977,045496524333,25.00
/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,Nintendo 3DS,20.00,15.00,977,045496472313,32.00
/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,Nintendo 3DS,13.00,9.00,977,045496527075,20.00
/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,Nintendo 3DS,19.00,14.00,977,0045496526283,30.00
/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Legend of Zelda: A Link Between Worlds,Nintendo 3DS,13.00,9.00,977,045496524531,20.00
/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,Nintendo 3DS,19.00,14.00,977,045496522582,30.00
/product_images/Juegos/DS Juegos/5051892132480_s.jpg,Lego Legends Of Chima: Laval's Journey,Nintendo DS,4.00,3.00,834,5051892132480,7.00
/product_images/Juegos/DS Juegos/5051893130096_s.jpg,Lego Senor De Los Anillos,Nintendo DS,6.00,4.00,834,5051893130096,10.00
/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,Nintendo DS,12.00,9.00,834,045496463106,20.00
/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,Nintendo DS,9.00,6.00,834,045496462338,15.00
/product_images/Juegos/DS Juegos/5051893027747_s.jpg,Las Aventuras De Aragorn,Nintendo DS,7.00,5.00,834,5051893027747,12.00
/product_images/Juegos/DS Juegos/5051893041279_s.jpg,Super ScribbleNauts,Nintendo DS,5.00,3.00,834,5051893041279,8.00
/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,Nintendo DS,7.00,5.00,834,045496464936,12.00
/product_images/Juegos/DS Juegos/5051893153217_s.jpg,LEGO Friends,Nintendo DS,11.00,8.00,834,5051893153217,18.00
/product_images/Juegos/DS Juegos/045496471644_s.jpg,Inazuma Eleven 2: Tormenta De Fuego,Nintendo DS,5.00,3.00,834,045496471644,8.00
/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,Nintendo DS,9.00,6.00,834,045496464844,15.00
/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,Nintendo DS,6.00,4.00,834,045496463595,10.00
/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,Nintendo DS,0.70,0.40,834,045496462567,2.00
/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,Nintendo DS,9.00,6.00,834,045496462543,15.00
/product_images/Juegos/DS Juegos/045496465896_s.jpg,Mario Party DS,Nintendo DS,7.00,5.00,834,045496465896,12.00
/product_images/Juegos/DS Juegos/045496471057_s.jpg,Pokemon Edicion Negra,Nintendo DS,11.00,8.00,834,045496471057,18.00
/product_images/Juegos/PC Juegos/8414185032879_s.jpg,Los Sims 2 Mascotas Expansion (SN),PC,0.60,0.30,830,8414185032879,2.00
/product_images/Juegos/PC Juegos/8414185051528_s.jpg,Los Sims 2 (SN),PC,3.00,2.00,830,8414185051528,10.00
/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,PC,0.70,0.30,830,8436010150671,2.50
/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),PC,0.30,0.10,830,5060193302294,1.00
/product_images/Juegos/PC Juegos/8436016710787_s.jpg,Blackguards,PC,0.60,0.30,830,8436016710787,2.00
/product_images/Juegos/PC Juegos/3307210153470_s.jpg,Beyond Good & Evil,PC,0.10,0.01,830,3307210153470,0.50
/product_images/Juegos/PC Juegos/4260089416369_s.jpg,Tropico Dictator Pack (P),PC,0.40,0.20,830,4260089416369,1.50
/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",PC,0.90,0.50,830,8436016710770,2.50
/product_images/Juegos/PC Juegos/8414185032411_s.jpg,Los Sims 2 Abren Negocios (SN)(CD),PC,0.40,0.20,830,8414185032411,1.50
/product_images/Juegos/PC Juegos/8414606866977_s.jpg,Stasis,PC,0.60,0.30,830,8414606866977,2.00
/product_images/Juegos/PC Juegos/3307210148971_s.jpg,Age of Empires (Gold Edition),PC,1.20,0.60,830,3307210148971,4.00
/product_images/Juegos/PC Juegos/3307210212368_s.jpg,Prince Of Persia El Alma Del Guerrero,PC,0.20,0.10,830,3307210212368,0.75
/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,PC,0.10,0.01,830,3307210181862,0.50
/product_images/Juegos/PC Juegos/8436010150572_s.jpg,Imperium II,PC,0.60,0.30,830,8436010150572,2.00
/product_images/Juegos/PC Juegos/8436010150909_s.jpg,Pro Race Driver,PC,0.20,0.10,830,8436010150909,0.75
