img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/Wii Juegos/5030934083126_s.jpg,Mysim Skyheroes,Wii,1.30,0.80,831,5030934083126,3.50
/product_images/Juegos/Wii Juegos/5030934085403B_s.jpg,EA Sports Active V2 (Solo Juego),Wii,1.30,0.80,831,5030934085403,3.50
/product_images/Juegos/Xbox 360 Juegos/8011642020457_s.jpg,Let's Dance With Mel B (Kinect),Xbox 360,3.00,2.00,827,8011642020457,6.00
/product_images/Juegos/Xbox 360 Juegos/5030934085762_s.jpg,Copa Mundial de la FIFA Sudafrica 2010,Xbox 360,0.90,0.60,827,5030934085762,2.50
/product_images/Juegos/Xbox 360 Juegos/8023171023373_s.jpg,Morphx,Xbox 360,1.30,0.80,827,8023171023373,3.50
/product_images/Juegos/Xbox 360 Juegos/8033102491034_s.jpg,SBK X,Xbox 360,1.10,0.70,827,8033102491034,3.00
/product_images/Juegos/Xbox 360 Juegos/5030917176647_s.jpg,Transformers Devastation,Xbox 360,6.00,4.00,827,5030917176647,10.00
/product_images/Juegos/Xbox 360 Juegos/3296580803835_s.jpg,Eternal Sonata,Xbox 360,7.00,5.00,827,3296580803835,12.00
/product_images/Juegos/Xbox 360 Juegos/5030917090639_s.jpg,Bakugan: Defenders Of The Core,Xbox 360,3.00,2.00,827,5030917090639,5.00
/product_images/Juegos/Xbox 360 Juegos/4020628888473_s.jpg,Double Pack - Dead Island / Dead Island Riptide,Xbox 360,4.00,3.00,827,4020628888473,7.00
/product_images/Juegos/Xbox 360 Juegos/5037930100383_s.jpg,Blacksite: Area 51,Xbox 360,1.30,0.80,827,5037930100383,3.50
/product_images/Juegos/Xbox 360 Juegos/5060073309887_s.jpg,Ninja Gaiden 3 Razor's Edge,Xbox 360,9.00,6.00,827,5060073309887,15.00
/product_images/Juegos/Xbox 360 Juegos/5055277020997_s.jpg,Anarchy Reigns,Xbox 360,3.00,2.00,827,5055277020997,5.00
/product_images/Juegos/Xbox 360 Juegos/5030917095320_s.jpg,Transformers: Lado Oscuro de la Luna,Xbox 360,1.50,0.90,827,5030917095320,4.00
/product_images/Juegos/Xbox 360 Juegos/5051603222820_s.jpg,Lego Batman,Xbox 360,3.00,2.00,827,5051603222820,6.00
