sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
045496462567,834,2.00,0.70,Nintendo DS,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.40
8414185051528,830,10.00,3.00,PC,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00
8436010150671,830,2.50,0.70,PC,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.30
5060193302294,830,1.00,0.30,PC,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.10
8414185032879,830,2.00,0.60,PC,Los Sims 2 Mascotas Expansion (SN),/product_images/Juegos/PC Juegos/8414185032879_s.jpg,0.30
3307210153470,830,0.50,0.10,PC,Beyond Good & Evil,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.01
3307210148971,830,4.00,1.20,PC,Age of Empires (Gold Edition),/product_images/Juegos/PC Juegos/3307210148971_s.jpg,0.60
8436016710770,830,2.50,0.90,PC,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.50
8420266991255,830,0.75,0.20,PC,"Longest Journey, The (4 Discs)",/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.10
8436016710787,830,2.00,0.60,PC,Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30
5055060972328,830,1.00,0.30,PC,Duck Tales Remastered,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,0.10
4260089416369,830,1.50,0.40,PC,Tropico Dictator Pack (P),/product_images/Juegos/PC Juegos/4260089416369_s.jpg,0.20
8414185032411,830,1.50,0.40,PC,Los Sims 2 Abren Negocios (SN)(CD),/product_images/Juegos/PC Juegos/8414185032411_s.jpg,0.20
8436010150541,830,0.50,0.10,PC,House Of The Dead 2,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.01
8436010150398,830,0.25,0.01,PC,"Runaway, A Road To Adventure",/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.01
5026555410267,821,15.00,9.00,PlayStation 3,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,6.00
5030917096808,821,6.00,3.00,PlayStation 3,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00
5051893133981,821,15.00,9.00,PlayStation 3,Midway Arcade Origins,/product_images/Juegos/PS3 Juegos/5051893133981_s.jpg,6.00
