categoria_id,precio_compra,sku,precio_intercambio,categoria_str,img_caratula,precio_venta,titulo
834,0.40,045496462567,0.70,Nintendo DS,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00,Brain Training
830,2.00,8414185051528,3.00,PC,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00,Los Sims 2 (SN)
830,0.10,5060193302294,0.30,PC,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00,Warhammer 40000 - Armageddon (SN)
830,0.30,8414185032879,0.60,PC,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,2.00,Los Sims 2 Mascotas Expansion (SN)
830,0.30,8436010150671,0.70,PC,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,2.50,Imperium III
830,0.60,3307210148971,1.20,PC,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,4.00,Age of Empires (Gold Edition)
830,0.01,3307210153470,0.10,PC,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.50,Beyond Good & Evil
830,0.30,8436016710787,0.60,PC,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,2.00,Blackguards
830,0.10,8420266991255,0.20,PC,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.75,"Longest Journey, The (4 Discs)"
830,0.50,8436016710770,0.90,PC,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50,"Whispered World, The - Edición Especial"
830,0.10,5055060972328,0.30,PC,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,1.00,Duck Tales Remastered
830,0.20,4260089416369,0.40,PC,/product_images/Juegos/PC Juegos/4260089416369_s.jpg,1.50,Tropico Dictator Pack (P)
830,0.20,8414185032411,0.40,PC,/product_images/Juegos/PC Juegos/8414185032411_s.jpg,1.50,Los Sims 2 Abren Negocios (SN)(CD)
830,0.30,8414185051856,0.60,PC,/product_images/Juegos/PC Juegos/8414185051856_s.jpg,2.00,Los Sims 2 Universitarios Expansion (SN) 3C
830,0.30,8414606866977,0.60,PC,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,2.00,Stasis
830,0.01,8436010150398,0.01,PC,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.25,"Runaway, A Road To Adventure"
821,6.00,5026555410267,9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00,Grand Theft Auto V (5)
821,2.00,5030917096808,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,6.00,Call Of Duty: Modern Warfare 3
