categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
PC,0.40,0.20,1.50,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,8436010150275
PC,0.01,0.01,0.25,Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,830,3307210181862
PC,0.20,0.10,0.75,Need For Speed: Porsche 2000,/product_images/defimg1_s.jpg,830,8431474003723
PC,0.40,0.20,1.50,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,830,8436010150572
PC,0.10,0.01,0.50,Classic Games Collection,/product_images/defimg3_s.jpg,830,8431474001200
PC,0.01,0.01,0.15,Crookz: The Big Heist (P),/product_images/Juegos/PC Juegos/4260089416710_s.jpg,830,4260089416710
PC,1.00,0.50,3.50,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,830,8436010150671
PC,0.30,0.10,1.00,Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,830,8436016710787
PC,0.30,0.10,1.00,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,830,5060193302294
PC,0.10,0.10,0.50,Skyhill,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,830,8414606866984
PC,4.00,2.00,12.00,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,830,8414185051528
PC,0.01,0.01,0.10,Los Sims Animales A Raudales (SN) (2 CDS),/product_images/Juegos/PC Juegos/8414185050873_s.jpg,830,8414185050873
PC,0.30,0.20,1.00,Cine Gramas,/product_images/defimg4_s.jpg,830,8431474002832
PC,0.30,0.10,1.00,Stasis,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,830,8414606866977
PC,0.40,0.20,1.50,Call of Juarez: Bound in Blood,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,830,3307211657861
PlayStation 3,9.00,6.00,15.00,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,821,5026555410267
PlayStation 3,4.00,2.00,12.00,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,821,5030917111761
PlayStation 3,3.00,2.00,5.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,821,5030917096808
PlayStation 3,3.00,2.00,5.00,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,821,5030917126116
PlayStation 3,2.00,1.60,7.00,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,821,5030937112373
PlayStation 3,0.60,0.30,2.00,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,821,5030933111103
PlayStation 3,4.00,3.00,7.00,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,821,5030917085802
PlayStation 3,15.00,11.00,25.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg,821,5030917162459
PlayStation 3,1.90,1.20,5.00,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,821,711719190059
PlayStation 3,0.10,0.01,0.50,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,821,5030934109680
PlayStation 3,7.00,5.00,12.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,821,5030917147906
PlayStation 3,5.00,3.00,8.00,Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,821,711719123996
PlayStation 3,7.00,5.00,12.00,Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,821,711719412915
PlayStation 3,3.00,2.00,6.00,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,821,5026555400251
