titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Bakugan: Defenders Of The Core,/product_images/Juegos/Wii Juegos/5030917089251_s.jpg,5030917089251,2.00,831,1.80,Wii,4.00
Skylanders SuperChargers Racing Starter Pack,/product_images/Juegos/Wii Juegos/5030917170355_s.jpg,5030917170355,6.00,831,4.00,Wii,10.00
Planet 51: El Videojuego,/product_images/Juegos/Wii Juegos/5055277002634_s.jpg,5055277002634,3.00,831,2.00,Wii,6.00
Star Wars Clone Wars Heroes de la Republ,/product_images/Juegos/Wii Juegos/023272008338_s.jpg,023272008338,7.00,831,5.00,Wii,12.00
Lego Star Wars 3- The Clone Wars,/product_images/Juegos/Wii Juegos/023272009830_s.jpg,023272009830,15.00,831,11.00,Wii,25.00
Bob Esponja: Botes de Choque,/product_images/Juegos/Wii Juegos/4005209130738B_s.jpg,4005209130738,3.00,831,2.00,Wii,6.00
Lego Batman 2: Dc Superheroes,/product_images/Juegos/Wii Juegos/5051893116724_s.jpg,5051893116724,9.00,831,6.00,Wii,15.00
Need For Speed: Pro Street,/product_images/Juegos/Wii Juegos/5030934059381_s.jpg,5030934059381,5.00,831,3.00,Wii,8.00
Ben 10: Alien Force,/product_images/Juegos/Wii Juegos/5060125482582_s.jpg,5060125482582,0.90,831,0.60,Wii,2.50
Drawn to Life: The Next Chapter,/product_images/Juegos/Wii Juegos/4005209128049_s.jpg,4005209128049,2.00,831,1.80,Wii,4.00
Pro Evolution Soccer 2010,/product_images/Juegos/Wii Juegos/4012927092439_s.jpg,4012927092439,0.20,831,0.10,Wii,0.75
Pro Evolution Soccer 2009,/product_images/Juegos/Wii Juegos/4012927091166_s.jpg,4012927091166,0.20,831,0.10,Wii,0.75
Los Simpson - El Videojuego,/product_images/Juegos/Wii Juegos/5030934059442_s.jpg,5030934059442,9.00,831,6.00,Wii,15.00
Final Fantasy CC: Crystal Bearers,/product_images/Juegos/Wii Juegos/5060121826045_s.jpg,5060121826045,9.00,831,6.00,Wii,15.00
Pro Evolution Soccer 2008,/product_images/Juegos/Wii Juegos/4012927090749_s.jpg,4012927090749,0.10,831,0.10,Wii,0.50
Marvel Ultimate Alliance,/product_images/Juegos/Wii Juegos/5030917039386_s.jpg,5030917039386,4.00,831,3.00,Wii,7.00
Angry Birds: Star Wars,/product_images/Juegos/Wii Juegos/5030917132155_s.jpg,5030917132155,4.00,831,3.00,Wii,7.00
Batman: El Intrepido Batman,/product_images/Juegos/Wii Juegos/5051893035520_s.jpg,5051893035520,3.00,831,2.00,Wii,6.00
Cocoto Magic Circus (Solo Juego),/product_images/Juegos/Wii Juegos/3770000633191_s.jpg,3770000633191,1.10,831,0.70,Wii,3.00
Kirby's Adventures,/product_images/Juegos/Wii Juegos/045496400859_s.jpg,045496400859,22.00,831,15.00,Wii,35.00
De Blob,/product_images/Juegos/Wii Juegos/4005209108515_s.jpg,4005209108515,5.00,831,3.00,Wii,8.00
Spider-Man 3,/product_images/Juegos/Wii Juegos/5030917043567_s.jpg,5030917043567,6.00,831,4.00,Wii,10.00
Guitar Hero: Warriors Of Rock Solo Juego,/product_images/Juegos/Wii Juegos/5030917088124_s.jpg,5030917088124,3.00,831,2.00,Wii,6.00
Inazuma Eleven Strikers ( Sobre De Carto,/product_images/Juegos/Wii Juegos/045496367299D_s.jpg,045496367299,1.70,831,1.00,Wii,4.50
Disney Sing it: Pop Hits (Solo Juego),/product_images/Juegos/Wii Juegos/045496368180_s.jpg,045496368180,0.10,831,0.10,Wii,0.50
Dogz: Diviertete con mas Perros!,/product_images/Juegos/Wii Juegos/3307210260734_s.jpg,3307210260734,5.00,831,3.00,Wii,8.00
Disney Universe,/product_images/Juegos/Wii Juegos/045496400439_s.jpg,045496400439,3.00,831,2.00,Wii,6.00
Resident Evil Zero,/product_images/Juegos/Wii Juegos/5055060952016_s.jpg,5055060952016,6.00,831,4.00,Wii,10.00
Red Steel 2 (Solo Juego),/product_images/Juegos/Wii Juegos/3307211672437_s.jpg,3307211672437,1.10,831,0.70,Wii,3.00
Batman Arkham Origins,/product_images/Juegos/Wii U Juegos/5051893143515_s.jpg,5051893143515,12.00,996,9.00,Wii U,20.00
Rabbids Land,/product_images/Juegos/Wii U Juegos/3307215654972_s.jpg,3307215654972,11.00,996,8.00,Wii U,18.00
Call Of Duty: Ghosts,/product_images/Juegos/Wii U Juegos/5030917125836_s.jpg,5030917125836,5.00,996,3.00,Wii U,8.00
Epic Mickey 2: El Retorno De Dos Heroes,/product_images/Juegos/Wii U Juegos/045496331030_s.jpg,045496331030,9.00,996,6.00,Wii U,15.00
eShop Selects: Fast Racing NEO,/product_images/Juegos/Wii U Juegos/045496336851_s.jpg,045496336851,17.00,996,12.00,Wii U,28.00
Game Party Champions,/product_images/Juegos/Wii U Juegos/5051893132090_s.jpg,5051893132090,6.00,996,4.00,Wii U,10.00
LEGO Batman 2: DC Superheroes,/product_images/Juegos/Wii U Juegos/5051893143485_s.jpg,5051893143485,11.00,996,8.00,Wii U,18.00
FIFA 13,/product_images/Juegos/Wii U Juegos/5030934110068_s.jpg,5030934110068,11.00,996,8.00,Wii U,18.00
Paper Mario: Color Splash,/product_images/Juegos/Wii U Juegos/045496337001_s.jpg,045496337001,20.00,996,14.00,Wii U,32.00
"LEGO Hobbit, El",/product_images/Juegos/Wii U Juegos/5051893168648_s.jpg,5051893168648,7.00,996,5.00,Wii U,12.00
Sonic & All Stars Racing Transformed,/product_images/Juegos/Wii U Juegos/5055277019922_s.jpg,5055277019922,15.00,996,11.00,Wii U,25.00
Disney Infinity Starter Pack,/product_images/Juegos/Wii U Juegos/8717418390068_s.jpg,8717418390068,6.00,996,4.00,Wii U,10.00
Game & Wario,/product_images/Juegos/Wii U Juegos/045496331818_s.jpg,045496331818,13.00,996,9.00,Wii U,22.00
Star Fox Guard,/product_images/Juegos/Wii U Juegos/045496336226_s.jpg,045496336226,5.00,996,3.00,Wii U,8.00
Assassin's Creed 4: Black Flag`,/product_images/Juegos/Wii U Juegos/3307215706435_s.jpg,3307215706435,9.00,996,6.00,Wii U,15.00
EShop Selects: Steam World Collection,/product_images/Juegos/Wii U Juegos/045496336929_s.jpg,045496336929,12.00,996,9.00,Wii U,20.00
SpongeBob: Plankton's Revenge,/product_images/Juegos/Wii U Juegos/5030917131363_s.jpg,5030917131363,11.00,996,8.00,Wii U,18.00
Devil's Third,/product_images/Juegos/Wii U Juegos/045496334079_s.jpg,045496334079,7.00,996,5.00,Wii U,12.00
Angry Birds: Star Wars,/product_images/Juegos/Wii U Juegos/5030917132094_s.jpg,5030917132094,9.00,996,6.00,Wii U,15.00
Guitar Hero Live + 6 Button Guitar,/product_images/Juegos/Wii U Juegos/5030917171314_s.jpg,5030917171314,6.00,996,4.00,Wii U,10.00
Disney Infinity 2.0 Marvel Super Heroes Starter Pack,/product_images/Juegos/Wii U Juegos/8717418434540_s.jpg,8717418434540,9.00,996,6.00,Wii U,15.00
Los Vengadores: Batalla Por La Tierra,/product_images/Juegos/Wii U Juegos/3307215654675_s.jpg,3307215654675,7.00,996,5.00,Wii U,12.00
Mario & Sonic en Juegos Olímpicos de Inv,/product_images/Juegos/Wii U Juegos/045496332648_s.jpg,045496332648,11.00,996,8.00,Wii U,18.00
Art Academy: Atelier,/product_images/Juegos/Wii U Juegos/045496334741_s.jpg,045496334741,5.00,996,3.00,Wii U,8.00
Splatoon + Amiibo Calamar,/product_images/Juegos/Wii U Juegos/045496334550_s.jpg,045496334550,18.00,996,13.00,Wii U,30.00
Sports Club,/product_images/Juegos/Wii U Juegos/045496333355_s.jpg,045496333355,18.00,996,13.00,Wii U,30.00
Disney Infinity 3.0 Star Wars Starter Pack,/product_images/Juegos/Wii U Juegos/8717418467302_s.jpg,8717418467302,11.00,996,8.00,Wii U,18.00
Tank! Tank! Tank!,/product_images/Juegos/Wii U Juegos/3391891968157_s.jpg,3391891968157,9.00,996,6.00,Wii U,15.00
Need For Speed - Most Wanted,/product_images/Juegos/Wii U Juegos/5030934109819_s.jpg,5030934109819,15.00,996,11.00,Wii U,25.00
"Amazing Spider-Man, The",/product_images/Juegos/Wii U Juegos/5030917123344_s.jpg,5030917123344,7.00,996,5.00,Wii U,12.00
Mario vs. Donkey Kong: Tipping Stars (S),/product_images/Juegos/Wii U Juegos/045496334291_s.jpg,045496334291,-1,996,-1,Wii U,15.00
Scribblenauts Unlimited,/product_images/Juegos/Wii U Juegos/045496331443_s.jpg,045496331443,18.00,996,13.00,Wii U,30.00
Hora De Aventuras: Explora La Mazmorra P,/product_images/Juegos/Wii U Juegos/3391891973175_s.jpg,3391891973175,13.00,996,9.00,Wii U,22.00
Rise Of The Guardians,/product_images/Juegos/Wii U Juegos/3391891966740_s.jpg,3391891966740,7.00,996,5.00,Wii U,12.00
Legend Of Zelda: Wind Waker HD LE,/product_images/Juegos/Wii U Juegos/045496332327_s.jpg,045496332327,74.00,996,61.00,Wii U,110.00
Terraria,/product_images/Juegos/Wii U Juegos/8023171036694_s.jpg,8023171036694,7.00,996,5.00,Wii U,12.00
Fit Music,/product_images/Juegos/Wii U Juegos/0040232872679_s.jpg,0040232872679,2.00,996,1.80,Wii U,4.00
Splinter Cell: Blacklist,/product_images/Juegos/Wii U Juegos/3307215654149_s.jpg,3307215654149,9.00,996,6.00,Wii U,15.00
Funky Barn,/product_images/Juegos/Wii U Juegos/8023171031842_s.jpg,8023171031842,6.00,996,4.00,Wii U,10.00
Lego Dimensions: Starter Pack (Sealed Only),/product_images/Juegos/Wii U Juegos/5051893232011_s.jpg,5051893232011,36.00,996,26.00,Wii U,58.00
Ninja Gaiden III: Razor's Edge,/product_images/Juegos/Wii U Juegos/045496331344_s.jpg,045496331344,7.00,996,5.00,Wii U,12.00
Barbie: Dreamhouse Party,/product_images/Juegos/Wii U Juegos/8154030101922_s.jpg,8154030101922,7.00,996,5.00,Wii U,12.00
One Piece: Unlimited World Red,/product_images/Juegos/Wii U Juegos/3391891977371_s.jpg,3391891977371,7.00,996,5.00,Wii U,12.00
Your Shape Fitness Evolved 2013,/product_images/Juegos/Wii U Juegos/3307215654774_s.jpg,3307215654774,2.00,996,1.80,Wii U,4.00
Pokemon Tekken,/product_images/Juegos/Wii U Juegos/045496335724_s.jpg,045496335724,-1,996,-1,Wii U,30.00
Disney's Planes,/product_images/Juegos/Wii U Juegos/045496331863_s.jpg,045496331863,6.00,996,4.00,Wii U,10.00
Phineas & Ferb : Quest for Cool Stuff,/product_images/Juegos/Wii U Juegos/8023171034195_s.jpg,8023171034195,6.00,996,4.00,Wii U,10.00
James Bond Legends,/product_images/Juegos/Wii U Juegos/5030917113956_s.jpg,5030917113956,6.00,996,4.00,Wii U,10.00
Hot Wheels: World's Best Driver,/product_images/Juegos/Wii U Juegos/5051892143721_s.jpg,5051892143721,6.00,996,4.00,Wii U,10.00
Ben 10 Omniverse,/product_images/Juegos/Wii U Juegos/3391891966238_s.jpg,3391891966238,3.00,996,2.00,Wii U,6.00
Walking Dead: Survival Instinct,/product_images/Juegos/Wii U Juegos/5030917123658_s.jpg,5030917123658,11.00,996,8.00,Wii U,18.00
Transformers: The Dark Spark,/product_images/Juegos/Wii U Juegos/5030917142871_s.jpg,5030917142871,11.00,996,8.00,Wii U,18.00
Animal Crossing Amiibo Festival + Amiibo,/product_images/Juegos/Wii U Juegos/045496334994_s.jpg,045496334994,6.00,996,4.00,Wii U,10.00
Project Zero: Maiden of Black Water,/product_images/Juegos/Wii U Juegos/04549633502_s.jpg,04549633502,37.00,996,27.00,Wii U,60.00
Tokyo Mirage Sessions - Limited Edition,/product_images/Juegos/Wii U Juegos/045496336462_s.jpg,045496336462,44.00,996,31.00,Wii U,70.00
Tokyo Mirage Sessions FE,/product_images/Juegos/Wii U Juegos/045496336509_s.jpg,045496336509,34.00,996,24.00,Wii U,55.00
"Avengers, The - Battle For Earth",/product_images/Juegos/Wii U Juegos/3307215654606_s.jpg,3307215654606,11.00,996,8.00,Wii U,18.00
Assassin's Creed III (3): Join or Die (P,/product_images/Juegos/Wii U Juegos/3307215679326_s.jpg,3307215679326,7.00,996,5.00,Wii U,12.00
Assassin's Creed IV: Black Flag - Skull Edition,/product_images/Juegos/Wii U Juegos/3307215714874_s.jpg,3307215714874,15.00,996,11.00,Wii U,25.00
Watch Dogs *2 Discs*,/product_images/Juegos/Xbox 360 Juegos/3307215711224_s.jpg,3307215711224,11.00,827,8.00,Xbox 360,18.00
Forza Horizon,/product_images/Juegos/Xbox 360 Juegos/885370404661_s.jpg,885370404661,9.00,827,6.00,Xbox 360,15.00
Alan Wake,/product_images/Juegos/Xbox 360 Juegos/885370091694_s.jpg,885370091694,3.00,827,2.00,Xbox 360,6.00
Bioshock Infinite,/product_images/Juegos/Xbox 360 Juegos/5026555256476_s.jpg,5026555256476,5.00,827,3.00,Xbox 360,8.00
Darksiders II,/product_images/Juegos/Xbox 360 Juegos/4005209162524_s.jpg,4005209162524,3.00,827,2.00,Xbox 360,6.00
Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/Xbox 360 Juegos/4012927039472_s.jpg,4012927039472,9.00,827,6.00,Xbox 360,15.00
Rage (3 Discs),/product_images/Juegos/Xbox 360 Juegos/093155143173_s.jpg,093155143173,3.00,827,2.00,Xbox 360,6.00
Bayonetta,/product_images/Juegos/Xbox 360 Juegos/5055277000777_s.jpg,5055277000777,7.00,827,5.00,Xbox 360,12.00
Assassin's Creed: Rogue,/product_images/Juegos/Xbox 360 Juegos/3307215806463_s.jpg,3307215806463,12.00,827,9.00,Xbox 360,20.00
Dead Island,/product_images/Juegos/Xbox 360 Juegos/4020628507299_s.jpg,4020628507299,1.50,827,0.90,Xbox 360,4.00
Aliens: Colonial Marines,/product_images/Juegos/Xbox 360 Juegos/5055277018246_s.jpg,5055277018246,1.50,827,0.90,Xbox 360,4.00
Sega Superstars Tennis,/product_images/Juegos/Xbox 360 Juegos/5060138436039_s.jpg,5060138436039,1.10,827,0.70,Xbox 360,3.00
Red Dead Redemption GOTY,/product_images/Juegos/Xbox 360 Juegos/5026555255042_s.jpg,5026555255042,11.00,827,8.00,Xbox 360,18.00
Bioshock 2,/product_images/Juegos/Xbox 360 Juegos/5026555248884_s.jpg,5026555248884,3.00,827,2.00,Xbox 360,6.00
Tekken 6,/product_images/Juegos/Xbox 360 Juegos/3296580800018_s.jpg,3296580800018,7.00,827,5.00,Xbox 360,12.00
Dark Souls,/product_images/Juegos/Xbox 360 Juegos/3391891956307_s.jpg,3391891956307,9.00,827,6.00,Xbox 360,15.00
Pro Evolution Soccer 2010,/product_images/Juegos/Xbox 360 Juegos/4012927033951_s.jpg,4012927033951,0.10,827,0.01,Xbox 360,0.50
Pro Evolution Soccer (PES) 2012,/product_images/Juegos/Xbox 360 Juegos/4012927035962_s.jpg,4012927035962,0.50,827,0.30,Xbox 360,1.50
Far Cry 2,/product_images/Juegos/Xbox 360 Juegos/3307210410917_s.jpg,3307210410917,1.50,827,0.90,Xbox 360,4.00
Formula 1 2011,/product_images/Juegos/Xbox 360 Juegos/5024866345872_s.jpg,5024866345872,0.90,827,0.60,Xbox 360,2.50
Castlevania: Lords of Shadows (2 Disc),/product_images/Juegos/Xbox 360 Juegos/4012927034408_s.jpg,4012927034408,5.00,827,3.00,Xbox 360,8.00
WWE 2K16,/product_images/Juegos/Xbox 360 Juegos/5026555264877_s.jpg,5026555264877,7.00,827,5.00,Xbox 360,12.00
Fable III/3,/product_images/Juegos/Xbox 360 Juegos/885370197532_s.jpg,885370197532,3.00,827,2.00,Xbox 360,6.00
Mass Effect 3,/product_images/Juegos/Xbox 360 Juegos/5030934101585_s.jpg,5030934101585,7.00,827,5.00,Xbox 360,12.00
NBA 2K15,/product_images/Juegos/Xbox 360 Juegos/5026555263405_s.jpg,5026555263405,3.00,827,2.00,Xbox 360,5.00
Red Dead Redemption: Undead Nightmare,/product_images/Juegos/Xbox 360 Juegos/5026555252867_s.jpg,5026555252867,5.00,827,3.00,Xbox 360,8.00
Pro Evolution Soccer (PES) 2013,/product_images/Juegos/Xbox 360 Juegos/4012927037157_s.jpg,4012927037157,0.90,827,0.60,Xbox 360,2.50
Skate 3,/product_images/Juegos/Xbox 360 Juegos/5030934084628_s.jpg,5030934084628,7.00,827,5.00,Xbox 360,12.00
Pro Evolution Soccer 2009,/product_images/Juegos/Xbox 360 Juegos/4012927033388_s.jpg,4012927033388,0.10,827,0.01,Xbox 360,0.50
Kinect Sports,/product_images/Juegos/Xbox 360 Juegos/0885370218466_s.jpg,0885370218466,1.50,827,0.90,Xbox 360,4.00
Splinter Cell Double Agent,/product_images/Juegos/Xbox 360 Juegos/3307210229618_s.jpg,3307210229618,1.10,827,0.70,Xbox 360,3.00
Saints Row 4,/product_images/Juegos/Xbox 360 Juegos/4020628512620_s.jpg,4020628512620,3.00,827,2.00,Xbox 360,6.00
Ninja Gaiden 2,/product_images/Juegos/Xbox 360 Juegos/882224626743_s.jpg,882224626743,3.00,827,2.00,Xbox 360,5.00
Need For Speed: Shift,/product_images/Juegos/Xbox 360 Juegos/5030934077293_s.jpg,5030934077293,3.00,827,2.00,Xbox 360,6.00
Final Fantasy XIII-2,/product_images/Juegos/Xbox 360 Juegos/5021290047471_s.jpg,5021290047471,1.50,827,0.90,Xbox 360,4.00
Forza Motorsport 2,/product_images/Juegos/Xbox 360 Juegos/882224319034_s.jpg,882224319034,1.10,827,0.70,Xbox 360,3.00
Prince of Persia (2008),/product_images/Juegos/Xbox 360 Juegos/3307211609402_s.jpg,3307211609402,1.10,827,0.70,Xbox 360,3.00
Dishonored,/product_images/Juegos/Xbox 360 Juegos/093155119635_s.jpg,093155119635,6.00,827,4.00,Xbox 360,10.00
Dead Space 2 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030934092555_s.jpg,5030934092555,5.00,827,3.00,Xbox 360,8.00
Dragon Ball Z: Burst Limit,/product_images/Juegos/Xbox 360 Juegos/3296580804849_s.jpg,3296580804849,3.00,827,2.00,Xbox 360,6.00
Fallout New Vegas,/product_images/Juegos/Xbox 360 Juegos/93155124950_s.jpg,93155124950,5.00,827,3.00,Xbox 360,8.00
Forza: Horizon 2,/product_images/Juegos/Xbox 360 Juegos/0885370861617_s.jpg,0885370861617,13.00,827,9.00,Xbox 360,22.00
Need For Speed: Most Wanted 12,/product_images/Juegos/Xbox 360 Juegos/5030934109215_s.jpg,5030934109215,7.00,827,5.00,Xbox 360,12.00
Saints Row The Third,/product_images/Juegos/Xbox 360 Juegos/4005209154222_s.jpg,4005209154222,1.50,827,0.90,Xbox 360,4.00
Forza Motorsport 4 Essentials Edition,/product_images/Juegos/Xbox 360 Juegos/88537030ESSE_s.jpg,88537030,3.00,827,2.00,Xbox 360,6.00
FIFA 17,/product_images/Juegos/Xbox 360 Juegos/5030947116439_s.jpg,5030947116439,34.00,827,24.00,Xbox 360,55.00
Lost Odyssey (4 Disc),/product_images/Juegos/Xbox 360 Juegos/882224625487_s.jpg,882224625487,7.00,827,5.00,Xbox 360,12.00
Dead Space,/product_images/Juegos/Xbox 360 Juegos/5030934066266_s.jpg,5030934066266,3.00,827,2.00,Xbox 360,6.00
Tekken Tag Tournament 2,/product_images/Juegos/Xbox 360 Juegos/3391891963879_s.jpg,3391891963879,7.00,827,5.00,Xbox 360,12.00
Dante's Inferno,/product_images/Juegos/Xbox 360 Juegos/5030934077002_s.jpg,5030934077002,5.00,827,3.00,Xbox 360,8.00
FIFA 10,/product_images/Juegos/Xbox 360 Juegos/5030934077972_s.jpg,5030934077972,0.10,827,0.01,Xbox 360,0.50
Plants Vs. Zombies : Garden Warfare,/product_images/Juegos/Xbox 360 Juegos/5030934112321_s.jpg,5030934112321,6.00,827,4.00,Xbox 360,10.00
Prototype,/product_images/Juegos/Xbox 360 Juegos/5030917067358_s.jpg,5030917067358,1.50,827,0.90,Xbox 360,4.00
Pure/Lego Batman,/product_images/Juegos/Xbox 360 Juegos/885370001884_s.jpg,885370001884,3.00,827,2.00,Xbox 360,6.00
"Halo 3: ODST , 2 Disc",/product_images/Juegos/Xbox 360 Juegos/882224751766_s.jpg,882224751766,1.50,827,0.90,Xbox 360,4.00
Diablo III,/product_images/Juegos/Xbox 360 Juegos/5030917126734_s.jpg,5030917126734,5.00,827,3.00,Xbox 360,8.00
Deus Ex: Human Revolution,/product_images/Juegos/Xbox 360 Juegos/5021290042476_s.jpg,5021290042476,1.30,827,0.80,Xbox 360,3.50
Assassin's Creed 4: Black Flag,/product_images/Juegos/Xbox One Juegos/3307215730362_s.jpg,3307215730362,4.00,1002,2.00,Xbox One,12.00
Killer Instinct,/product_images/Juegos/Xbox One Juegos/885370860894_s.jpg,885370860894,1.90,1002,1.20,Xbox One,5.00
Rare Replay,/product_images/Juegos/Xbox One Juegos/885370951493_s.jpg,885370951493,4.00,1002,2.00,Xbox One,12.00
Project Spark,/product_images/Juegos/Xbox One Juegos/885370773255_s.jpg,885370773255,1.90,1002,1.20,Xbox One,5.00
Final Fantasy Type-0 HD,/product_images/Juegos/Xbox One Juegos/5021290064928_s.jpg,5021290064928,7.00,1002,5.00,Xbox One,12.00
Plants vs Zombies: Garden Warfare 2,/product_images/Juegos/Xbox One Juegos/5030945116417_s.jpg,5030945116417,12.00,1002,9.00,Xbox One,20.00
Call Of Duty: Ghosts,/product_images/Juegos/Xbox One Juegos/5030917126017_s.jpg,5030917126017,4.00,1002,2.00,Xbox One,12.00
LEGO Marvel Superheroes,/product_images/Juegos/Xbox One Juegos/5051893156577_s.jpg,5051893156577,5.00,1002,3.00,Xbox One,15.00
Forza Horizon 2,/product_images/Juegos/Xbox One Juegos/0885370861464_s.jpg,0885370861464,15.00,1002,11.00,Xbox One,25.00
Need For Speed (2015),/product_images/Juegos/Xbox One Juegos/5030936113746_s.jpg,5030936113746,11.00,1002,8.00,Xbox One,18.00
NBA 2K17,/product_images/Juegos/Xbox One Juegos/5026555358033_s.jpg,5026555358033,22.00,1002,15.00,Xbox One,35.00
ReCore,/product_images/Juegos/Xbox One Juegos/889842134308_s.jpg,889842134308,15.00,1002,11.00,Xbox One,25.00
Mortal Kombat X,/product_images/Juegos/Xbox One Juegos/5051893198539_s.jpg,5051893198539,11.00,1002,8.00,Xbox One,18.00
State Of Decay,/product_images/Juegos/Xbox One Juegos/885370901696_s.jpg,885370901696,9.00,1002,6.00,Xbox One,15.00
Pro Evolution Soccer 2016,/product_images/Juegos/Xbox One Juegos/4012927111031_s.jpg,4012927111031,3.00,1002,2.00,Xbox One,10.00
Battlefield 4,/product_images/Juegos/Xbox One Juegos/5030944111345_s.jpg,5030944111345,3.00,1002,2.00,Xbox One,10.00
Wolfenstein: The Old Blood,/product_images/Juegos/Xbox One Juegos/5055856406068_s.jpg,5055856406068,11.00,1002,8.00,Xbox One,18.00
Kinect Sports Rivals,/product_images/Juegos/Xbox One Juegos/885370662429_s.jpg,885370662429,6.00,1002,4.00,Xbox One,10.00
Sniper Elite 3,/product_images/Juegos/Xbox One Juegos/8023171034386_s.jpg,8023171034386,9.00,1002,6.00,Xbox One,15.00
Resident Evil 6 HD,/product_images/Juegos/Xbox One Juegos/5055060966297_s.jpg,5055060966297,11.00,1002,8.00,Xbox One,18.00
Mirror's Edge Catalyst,/product_images/Juegos/Xbox One Juegos/5035225116392_s.jpg,5035225116392,5.00,1002,3.00,Xbox One,15.00
F1 2015,/product_images/Juegos/Xbox One Juegos/5024866364071_s.jpg,5024866364071,3.00,1002,1.90,Xbox One,8.00
WWE 2K15,/product_images/Juegos/Xbox One Juegos/5026555283960_s.jpg,5026555283960,1.50,1002,0.90,Xbox One,4.00
Tomb Raider: Definitive Edition,/product_images/Juegos/Xbox One Juegos/5021290060982_s.jpg,5021290060982,9.00,1002,6.00,Xbox One,15.00
Diablo III/3 - Ultimate Edition Evil,/product_images/Juegos/Xbox One Juegos/5030917144264_s.jpg,5030917144264,7.00,1002,5.00,Xbox One,12.00
"Evil Within, The",/product_images/Juegos/Xbox One Juegos/093155149113_s.jpg,093155149113,4.00,1002,2.00,Xbox One,12.00
Payday 2 - Crimewave Edition,/product_images/Juegos/Xbox One Juegos/8023171036311_s.jpg,8023171036311,5.00,1002,3.00,Xbox One,8.00
Overwatch,/product_images/Juegos/Xbox One Juegos/5030917189050_s.jpg,5030917189050,25.00,1002,18.00,Xbox One,40.00
Assassin's Creed: The Ezio Collection,/product_images/Juegos/Xbox One Juegos/3307215977637_s.jpg,3307215977637,12.00,1002,9.00,Xbox One,20.00
Dying Light,/product_images/Juegos/Xbox One Juegos/5051893170115_s.jpg,5051893170115,13.00,1002,9.00,Xbox One,22.00
Dragon Ball: Xenoverse,/product_images/Juegos/Xbox One Juegos/3391891980500_s.jpg,3391891980500,12.00,1002,9.00,Xbox One,20.00
Pro Evolution Soccer 2017,/product_images/Juegos/Xbox One Juegos/4012927111581_s.jpg,4012927111581,17.00,1002,12.00,Xbox One,28.00
LEGO Batman 3,/product_images/Juegos/Xbox One Juegos/5051893167603_s.jpg,5051893167603,7.00,1002,5.00,Xbox One,12.00
Project CARS,/product_images/Juegos/Xbox One Juegos/3391891980951_s.jpg,3391891980951,4.00,1002,2.00,Xbox One,12.00
Minecraft,/product_images/Juegos/Xbox One Juegos/885370607789_s.jpg,885370607789,6.00,1002,4.00,Xbox One,10.00
Steep,/product_images/Juegos/Xbox One Juegos/3307215974780_s.jpg,3307215974780,18.00,1002,13.00,Xbox One,30.00
Moto Racer 4,/product_images/Juegos/Xbox One Juegos/3760156480756_s.jpg,3760156480756,3.00,1002,2.00,Xbox One,10.00
NBA 2K15,/product_images/Juegos/Xbox One Juegos/5026555284028_s.jpg,5026555284028,2.00,1002,1.40,Xbox One,6.00
Mad Max,/product_images/Juegos/Xbox One Juegos/5051893163421_s.jpg,5051893163421,12.00,1002,9.00,Xbox One,20.00
Lords Of The Fallen,/product_images/Juegos/Xbox One Juegos/5907813598845_s.jpg,5907813598845,11.00,1002,8.00,Xbox One,18.00
Dirt Rally (Game Only),/product_images/Juegos/Xbox One Juegos/4020628836375_s.jpg,4020628836375,11.00,1002,8.00,Xbox One,18.00
Elder Scrolls V: Skyrim - Special Edition,/product_images/Juegos/Xbox One Juegos/5055856411697_s.jpg,5055856411697,20.00,1002,14.00,Xbox One,32.00
MotoGP 15,/product_images/Juegos/Xbox One Juegos/8059617103637_s.jpg,8059617103637,9.00,1002,6.00,Xbox One,15.00
Sunset Overdrive,/product_images/Juegos/Xbox One Juegos/885370853889_s.jpg,885370853889,5.00,1002,3.00,Xbox One,15.00
Dying Light The Following: Enhanced Edition (18),/product_images/Juegos/Xbox One Juegos/5051890302076_s.jpg,5051890302076,22.00,1002,15.00,Xbox One,35.00
Adam's Venture: Origins,/product_images/Juegos/Xbox One Juegos/8718591182563_s.jpg,8718591182563,7.00,1002,5.00,Xbox One,12.00
Devil May Cry: Definitive Edition,/product_images/Juegos/Xbox One Juegos/5055060940563_s.jpg,5055060940563,11.00,1002,8.00,Xbox One,18.00
Deus Ex: Mankind Divided,/product_images/Juegos/Xbox One Juegos/5021290071582_s.jpg,5021290071582,11.00,1002,8.00,Xbox One,18.00
Lego Movie: The Videogame,/product_images/Juegos/Xbox One Juegos/5051893165012_s.jpg,5051893165012,6.00,1002,4.00,Xbox One,10.00
Watch Dogs DEDSEC Edition,/product_images/Juegos/Xbox One Juegos/3307215733356_s.jpg,3307215733356,11.00,1002,8.00,Xbox One,18.00
Alien Isolation,/product_images/Juegos/Xbox One Juegos/5055277024681_s.jpg,5055277024681,11.00,1002,8.00,Xbox One,18.00
LEGO Jurassic World (No Figure),/product_images/Juegos/Xbox One Juegos/5051893218787_s.jpg,5051893218787,11.00,1002,8.00,Xbox One,18.00
