titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,045496471057,11.00,834,8.00,Nintendo DS,18.00
Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,0.30,830,0.10,PC,1.00
Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,3.00,830,2.00,PC,10.00
Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,0.70,830,0.30,PC,2.50
Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,8436010150572,0.60,830,0.30,PC,2.00
"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,0.90,830,0.50,PC,2.50
Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,8436010150275,0.40,830,0.20,PC,1.50
House Of The Dead 2,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,8436010150541,0.10,830,0.01,PC,0.50
Pro Race Driver,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,8436010150909,0.20,830,0.10,PC,0.75
Crookz: The Big Heist (P),/product_images/Juegos/PC Juegos/4260089416710_s.jpg,4260089416710,0.01,830,0.01,PC,0.15
Call of Duty 2,/product_images/Juegos/PC Juegos/5030917031922_s.jpg,5030917031922,1.20,830,0.60,PC,4.00
Splinter Cell Chaos Theory,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,3307210220134,0.10,830,0.01,PC,0.50
Tzar: Edicion de Oro,/product_images/Juegos/PC Juegos/8436010150244_s.jpg,8436010150244,0.30,830,0.10,PC,1.00
Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,0.10,830,0.01,PC,0.50
Assassin's Creed,/product_images/Juegos/PC Juegos/3307210263575_s.jpg,3307210263575,1.80,830,1.00,PC,5.00
Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,9.00,821,6.00,PlayStation 3,15.00
Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,3.00,821,2.00,PlayStation 3,6.00
Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,5.00,821,3.00,PlayStation 3,15.00
Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,5.00,821,3.00,PlayStation 3,8.00
Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,3.00,821,2.00,PlayStation 3,6.00
Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,3.00,821,2.00,PlayStation 3,6.00
Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,9.00,821,6.00,PlayStation 3,15.00
FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,5.00,821,3.00,PlayStation 3,8.00
FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,0.60,821,0.30,PlayStation 3,2.00
Call of Duty: Modern Warfare 2,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,3.00,821,2.00,PlayStation 3,6.00
Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,6.00,821,4.00,PlayStation 3,10.00
Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,3.00,821,2.00,PlayStation 3,6.00
FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,5030946112869,13.00,821,9.00,PlayStation 3,22.00
Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,711719412915,11.00,821,8.00,PlayStation 3,18.00
Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,0711719274551,13.00,821,9.00,PlayStation 3,22.00
Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,9.00,990,7.00,PlayStation Vita,15.00
Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,14.00,990,10.00,PlayStation Vita,22.00
Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,13.00,990,9.00,PlayStation Vita,20.00
Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,9.00,990,7.00,PlayStation Vita,15.00
Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,9.00,990,7.00,PlayStation Vita,15.00
FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,14.00,990,10.00,PlayStation Vita,22.00
Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,2.00,990,1.40,PlayStation Vita,6.00
Metal Gear Solid Hd Colección,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,4012927066065,13.00,990,9.00,PlayStation Vita,20.00
FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,2.00,990,1.40,PlayStation Vita,6.00
FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,6.00,990,4.00,PlayStation Vita,10.00
Gravity Rush,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,711719241638,11.00,990,8.00,PlayStation Vita,18.00
Resistance: Burning Skies,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,711719200147,9.00,990,7.00,PlayStation Vita,15.00
Soul Sacrifice,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,711719292852,7.00,990,5.00,PlayStation Vita,12.00
Final Fantasy X HD Only,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,5021290057791,13.00,990,9.00,PlayStation Vita,20.00
Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,13.00,990,9.00,PlayStation Vita,20.00
Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,1.40,862,0.80,PSP,4.00
Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,1.40,862,0.80,PSP,4.00
Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,0.10,862,0.01,PSP,0.50
Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,1.40,862,0.80,PSP,4.00
God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,0.90,862,0.40,PSP,3.00
God of War: Ghost of Sparta,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,711719168171,1.60,862,0.90,PSP,4.50
Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,0.90,862,0.40,PSP,3.00
Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,0.90,862,0.40,PSP,3.00
Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,8414646244995,0.10,862,0.01,PSP,0.50
Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,0.90,862,0.40,PSP,3.00
Pro Evolution Soccer 2012,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,4012927065174,0.40,862,0.20,PSP,1.50
Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,0.90,862,0.40,PSP,3.00
