img_caratula,categoria_id,titulo,precio_venta,precio_compra,precio_intercambio,sku,categoria_str
/product_images/Juegos/PC Juegos/8436016710770_s.jpg,830,"Whispered World, The - Edición Especial",2.00,0.40,0.70,8436016710770,PC
/product_images/Juegos/PC Juegos/5060193302294_s.jpg,830,Warhammer 40000 - Armageddon (SN),1.00,0.10,0.30,5060193302294,PC
/product_images/defimg3_s.jpg,830,Need For Speed: Porsche 2000,0.75,0.10,0.20,8431474003723,PC
/product_images/Juegos/PC Juegos/5055060972328_s.jpg,830,Duck Tales Remastered,0.75,0.10,0.20,5055060972328,PC
/product_images/Juegos/PC Juegos/3307210181862_s.jpg,830,Splinter Cell,0.25,0.01,0.01,3307210181862,PC
/product_images/Juegos/PC Juegos/8420266991255_s.jpg,830,"Longest Journey, The (4 Discs)",0.25,0.01,0.01,8420266991255,PC
/product_images/Juegos/PC Juegos/3760156481111_s.jpg,830,Yesterday Origins (P),12.00,2.00,4.00,3760156481111,PC
/product_images/Juegos/PC Juegos/8436016710787_s.jpg,830,Blackguards,1.00,0.10,0.30,8436016710787,PC
/product_images/Juegos/PC Juegos/8436010154587_s.jpg,830,Caos En Deponia,0.75,0.10,0.20,8436010154587,PC
/product_images/Juegos/PC Juegos/8436010150527_s.jpg,830,Torrente El Juego,0.10,0.01,0.01,8436010150527,PC
/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,Imperium,1.50,0.20,0.40,8436010150275,PC
/product_images/Juegos/PC Juegos/3760156480831_s.jpg,830,Moto Racer 4 (P),15.00,3.00,5.00,3760156480831,PC
/product_images/defimg5_s.jpg,830,Classic Games Collection,0.50,0.01,0.10,8431474001200,PC
/product_images/Juegos/PC Juegos/8414606866977_s.jpg,830,Stasis,1.00,0.10,0.30,8414606866977,PC
/product_images/Juegos/PC Juegos/3307210220134_s.jpg,830,Splinter Cell Chaos Theory,0.50,0.01,0.10,3307210220134,PC
/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,821,Grand Theft Auto V (5),18.00,8.00,11.00,5026555410267,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,821,Call Of Duty: Modern Warfare 3,4.00,1.80,2.00,5030917096808,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,821,Call of Duty: Modern Warfare 2,4.00,1.80,2.00,5030917070990,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,821,Call Of Duty: Black Ops II,15.00,3.00,5.00,5030917111761,PlayStation 3
