sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
045496464103,3.00,Pokemon Ranger,834,5.00,Nintendo DS,8.00,/product_images/Juegos/DS Juegos/045496464103_s.jpg
8436010150671,0.30,Imperium III,830,0.70,PC,2.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg
3307210181862,0.01,Splinter Cell,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307210181862_s.jpg
8414185051528,2.00,Los Sims 2 (SN),830,3.00,PC,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg
3307210220134,0.01,Splinter Cell Chaos Theory,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307210220134_s.jpg
8436016710770,0.50,"Whispered World, The - Edición Especial",830,0.90,PC,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg
5030917181603,15.00,Call Of Duty: Black Ops III (P),830,22.00,PC,35.00,/product_images/Juegos/PC Juegos/5030917181603_s.jpg
8436016710787,0.30,Blackguards,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8436016710787_s.jpg
8414606866977,0.30,Stasis,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8414606866977_s.jpg
5060193302294,0.10,Warhammer 40000 - Armageddon (SN),830,0.30,PC,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg
8436010150275,0.20,Imperium,830,0.40,PC,1.50,/product_images/Juegos/PC Juegos/8436010150275_s.jpg
8436010150572,0.30,Imperium II,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg
3307211609143,0.01,Prince of Persia (2008),830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307211609143_s.jpg
8436010150930,0.01,Panzers II (SN) 1DVD,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/8436010150930_s.jpg
8436010150541,0.01,House Of The Dead 2,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg
740781770142,0.70,Divinity: Original Sin (P),830,1.50,PC,5.00,/product_images/Juegos/PC Juegos/740781770142_s.jpg
5026555410267,6.00,Grand Theft Auto V (5),821,9.00,PlayStation 3,15.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg
5026555400251,2.00,Grand Theft Auto IV,821,3.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg
5030917111761,3.00,Call Of Duty: Black Ops II,821,5.00,PlayStation 3,15.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg
5030917096808,2.00,Call Of Duty: Modern Warfare 3,821,3.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg
5030917085802,3.00,Call Of Duty: Black Ops,821,5.00,PlayStation 3,8.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg
5030917147906,6.00,Call Of Duty: Advanced Warfare,821,9.00,PlayStation 3,15.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg
5030917126116,2.00,Call Of Duty: Ghosts,821,3.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg
711719190059,2.00,Gran Turismo 5,821,3.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg
5030937112373,3.00,FIFA 15,821,5.00,PlayStation 3,8.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg
5030934109680,0.01,FIFA 13,821,0.01,PlayStation 3,0.25,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg
5030933111103,0.30,FIFA 14,821,0.60,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg
5030946112869,9.00,FIFA 16,821,13.00,PlayStation 3,22.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg
5030917070990,2.00,Call of Duty: Modern Warfare 2,821,3.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg
711719123996,4.00,Uncharted 3: Traicion de Drake,821,6.00,PlayStation 3,10.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg
0711719274551,9.00,Last Of Us,821,13.00,PlayStation 3,22.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg
5030917114083,10.00,Call of Duty Black Ops- Declassified,990,14.00,PlayStation Vita,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg
711719438519,7.00,Minecraft,990,9.00,PlayStation Vita,15.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg
5035225113223,10.00,FIFA 15,990,14.00,PlayStation Vita,22.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg
5055277016259,8.00,Virtua Tennis 4: Edicion World Tour,990,11.00,PlayStation Vita,18.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg
711719200628,9.00,Uncharted: Golden Abyss,990,13.00,PlayStation Vita,20.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg
5030934109901,1.40,FIFA 13,990,2.00,PlayStation Vita,6.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg
5030934109192,7.00,Need For Speed: Most Wanted 12,990,9.00,PlayStation Vita,15.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg
711719251163,9.00,Killzone Mercenary,990,13.00,PlayStation Vita,20.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg
711719287667,1.40,Invizimals - La Alianza,990,2.00,PlayStation Vita,6.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg
711719421511,7.00,Borderlands 2,990,9.00,PlayStation Vita,15.00,/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg
4012927066065,9.00,Metal Gear Solid Hd Colección,990,13.00,PlayStation Vita,20.00,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg
3307215652312,7.00,Assassin's Creed III (3): Liberation,990,9.00,PlayStation Vita,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg
5021290057791,9.00,Final Fantasy X HD Only,990,13.00,PlayStation Vita,20.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg
711719241638,8.00,Gravity Rush,990,11.00,PlayStation Vita,18.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg
5030939111404,4.00,FIFA 14,990,6.00,PlayStation Vita,10.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg
5026555280143,0.80,Grand Theft Auto: Liberty City Stories,862,1.40,PSP,4.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg
5026555280785,0.80,Grand Theft Auto Vice City Stories,862,1.40,PSP,4.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg
