precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
0.40,2.00,"Whispered World, The - Edición Especial",PC,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.70,8436016710770
0.01,0.15,Crookz: The Big Heist (P),PC,830,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,4260089416710
0.10,0.75,Caos En Deponia,PC,830,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,0.20,8436010154587
0.01,0.25,Splinter Cell,PC,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,3307210181862
0.10,0.75,Need For Speed: Porsche 2000,PC,830,/product_images/defimg2_s.jpg,0.20,8431474003723
0.10,1.00,Warhammer 40000 - Armageddon (SN),PC,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,5060193302294
0.01,0.50,Splinter Cell Chaos Theory,PC,830,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,3307210220134
0.10,1.00,Blackguards,PC,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,8436016710787
0.01,0.10,Torrente El Juego,PC,830,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.01,8436010150527
0.10,1.00,Stasis,PC,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,8414606866977
0.10,0.75,"Fuga De Deponia, La",PC,830,/product_images/Juegos/PC Juegos/8436010154037_s.jpg,0.20,8436010154037
0.01,0.10,CSI: Crime Scene Investigation,PC,830,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,0.01,3307210136817
0.20,1.50,Imperium,PC,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,8436010150275
0.20,1.50,Imperium II,PC,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.40,8436010150572
0.10,0.75,Duck Tales Remastered,PC,830,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,0.20,5055060972328
8.00,18.00,Grand Theft Auto V (5),PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,11.00,5026555410267
3.00,15.00,Call Of Duty: Black Ops II,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5.00,5030917111761
1.80,4.00,Call Of Duty: Modern Warfare 3,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,5030917096808
3.00,7.00,Call Of Duty: Black Ops,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,5030917085802
1.90,8.00,FIFA 15,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,5030937112373
2.00,5.00,Grand Theft Auto IV,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,5026555400251
1.80,4.00,Call Of Duty: Ghosts,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,5030917126116
0.30,2.00,FIFA 14,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,5030933111103
0.01,0.25,FIFA 13,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,5030934109680
4.00,10.00,Uncharted 3: Traicion de Drake,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,6.00,711719123996
1.40,6.00,Gran Turismo 5,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,711719190059
6.00,15.00,Far Cry 4,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,9.00,3307215793299
5.00,22.00,FIFA 16,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,5030946112869
