titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Inazuma Eleven,045496470647,4.50,1.00,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.70,834,Nintendo DS
"Whispered World, The - Edición Especial",8436016710770,2.50,0.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.90,830,PC
Age of Empires Collectors Edition,3307210245281,14.00,3.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,5.00,830,PC
Los Sims 2 (SN),8414185051528,10.00,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,3.00,830,PC
Imperium II,8436010150572,1.00,0.10,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.30,830,PC
Imperium,8436010150275,1.50,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,830,PC
Call of Juarez: Bound in Blood,3307211657861,1.00,0.10,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,0.30,830,PC
Heroes of Might & Magic V (SN),3307210217493,1.00,0.10,/product_images/Juegos/PC Juegos/3307210217493_s.jpg,0.30,830,PC
Torrente El Juego,8436010150527,0.25,0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.01,830,PC
"Runaway, A Road To Adventure",8436010150398,0.10,0.01,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.01,830,PC
Imperium III,8436010150671,3.00,0.40,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.90,830,PC
Warhammer 40000 - Armageddon (SN),5060193302294,2.00,0.30,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.60,830,PC
Prince of Persia (2008),3307211609143,1.00,0.10,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.30,830,PC
Los Sims 2 Mascotas Expansion (SN),8414185032879,3.00,0.40,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,0.90,830,PC
Apache vs Havoc,8436010150541,0.10,0.01,/product_images/defimg2_s.jpg,0.01,830,PC
Grand Theft Auto V (5),5026555410267,15.00,6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,821,PlayStation 3
FIFA 15,5030937112373,7.00,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,4.00,821,PlayStation 3
Call Of Duty: Black Ops II,5030917111761,12.00,2.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,4.00,821,PlayStation 3
