categoria_str,precio_intercambio,precio_venta,img_caratula,precio_compra,titulo,categoria_id,sku
Nintendo DS,3.00,6.00,/product_images/Juegos/DS Juegos/045496462239_s.jpg,2.00,NintenDogs Dachshund & Friends,834,045496462239
PC,0.30,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.10,Warhammer 40000 - Armageddon (SN),830,5060193302294
PC,0.70,2.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.30,Imperium III,830,8436010150671
PC,0.20,0.75,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,0.10,Pro Race Driver,830,8436010150909
PC,3.00,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00,Los Sims 2 (SN),830,8414185051528
PC,0.10,0.50,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.01,Splinter Cell Chaos Theory,830,3307210220134
PC,0.40,1.50,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.20,Imperium,830,8436010150275
PC,0.90,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.50,"Whispered World, The - Edición Especial",830,8436016710770
PC,0.10,0.50,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,Splinter Cell,830,3307210181862
PC,0.60,2.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.30,Imperium II,830,8436010150572
PC,0.10,0.50,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.01,House Of The Dead 2,830,8436010150541
PC,0.01,0.15,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,Crookz: The Big Heist (P),830,4260089416710
PC,0.10,0.50,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.01,Beyond Good & Evil,830,3307210153470
PC,5.00,15.00,/product_images/Juegos/PC Juegos/8414185032275_s.jpg,3.00,Batalla por la Tierra Media II,830,8414185032275
PC,0.10,0.50,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.01,Prince of Persia (2008),830,3307211609143
PC,0.30,1.00,/product_images/Juegos/PC Juegos/8436010150244_s.jpg,0.10,Tzar: Edicion de Oro,830,8436010150244
PlayStation 3,9.00,15.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,6.00,Grand Theft Auto V (5),821,5026555410267
