precio_compra,img_caratula,categoria_str,sku,categoria_id,precio_venta,precio_intercambio,titulo
0.10,/product_images/defimg3_s.jpg,PC,8431474003723,830,0.75,0.20,Need For Speed: Porsche 2000
0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,PC,3307210181862,830,0.25,0.01,Splinter Cell
0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,PC,5060193302294,830,1.00,0.30,Warhammer 40000 - Armageddon (SN)
0.20,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,PC,8436010150572,830,1.50,0.40,Imperium II
0.01,/product_images/defimg3_s.jpg,PC,8431474001200,830,0.50,0.10,Classic Games Collection
0.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,PC,8436010150671,830,3.50,1.00,Imperium III
0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,PC,8436016710787,830,1.00,0.30,Blackguards
0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,PC,8436010150275,830,1.50,0.40,Imperium
2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,PC,8414185051528,830,12.00,4.00,Los Sims 2 (SN)
0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,PC,8414606866977,830,1.00,0.30,Stasis
0.20,/product_images/defimg1_s.jpg,PC,8431474002832,830,1.00,0.30,Cine Gramas
0.20,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,PC,3307211657861,830,1.50,0.40,Call of Juarez: Bound in Blood
0.10,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,PC,8414606866984,830,0.50,0.10,Skyhill
0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,PC,8436010150527,830,0.10,0.01,Torrente El Juego
6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,PlayStation 3,5026555410267,821,15.00,9.00,Grand Theft Auto V (5)
2.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,PlayStation 3,5030917111761,821,12.00,4.00,Call Of Duty: Black Ops II
1.60,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,PlayStation 3,5030937112373,821,7.00,2.00,FIFA 15
2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,PlayStation 3,5030917096808,821,5.00,3.00,Call Of Duty: Modern Warfare 3
2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,PlayStation 3,5026555400251,821,6.00,3.00,Grand Theft Auto IV
2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,PlayStation 3,5030917126116,821,5.00,3.00,Call Of Duty: Ghosts
3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,PlayStation 3,5030917085802,821,7.00,4.00,Call Of Duty: Black Ops
0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,PlayStation 3,5030933111103,821,2.00,0.60,FIFA 14
1.20,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,PlayStation 3,711719190059,821,5.00,1.90,Gran Turismo 5
5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,PlayStation 3,5030946112869,821,22.00,8.00,FIFA 16
9.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,PlayStation 3,0711719274551,821,20.00,12.00,Last Of Us
5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,PlayStation 3,5030917147906,821,12.00,7.00,Call Of Duty: Advanced Warfare
