precio_venta,titulo,precio_compra,categoria_id,img_caratula,precio_intercambio,sku,categoria_str
8.00,Moto Racer 4 (P),1.60,830,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,2.00,3760156480831,PC
2.50,Imperium III,0.30,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.70,8436010150671,PC
2.00,Imperium II,0.30,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.60,8436010150572,PC
1.00,Warhammer 40000 - Armageddon (SN),0.10,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,5060193302294,PC
0.75,PATRICIAN II,0.10,830,/product_images/defimg4_s.jpg,0.20,8436010150541,PC
2.00,Blackguards,0.30,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.60,8436016710787,PC
2.50,"Whispered World, The - Edición Especial",0.50,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.90,8436016710770,PC
0.75,Torrente El Juego,0.10,830,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.20,8436010150527,PC
0.50,Splinter Cell Chaos Theory,0.01,830,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,3307210220134,PC
10.00,Los Sims 2 (SN),2.00,830,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,3.00,8414185051528,PC
2.00,Stasis,0.30,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.60,8414606866977,PC
2.00,Call of Juarez: Bound in Blood,0.30,830,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,0.60,3307211657861,PC
8.00,"Elder Scrolls, The Online (P) 4 Discos",1.60,830,/product_images/Juegos/PC Juegos/5055856401308_s.jpg,2.00,5055856401308,PC
0.50,CSI: Crime Scene Investigation,0.01,830,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,0.10,3307210136817,PC
18.00,Grand Theft Auto V (5),8.00,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,11.00,5026555410267,PlayStation 3
4.00,Call Of Duty: Modern Warfare 3,1.80,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,5030917096808,PlayStation 3
4.00,Call Of Duty: Ghosts,1.80,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,5030917126116,PlayStation 3
5.00,Grand Theft Auto IV,2.00,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,5026555400251,PlayStation 3
15.00,Call Of Duty: Black Ops II,3.00,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5.00,5030917111761,PlayStation 3
12.00,Call Of Duty: Advanced Warfare,5.00,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,7.00,5030917147906,PlayStation 3
7.00,Call Of Duty: Black Ops,3.00,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,5030917085802,PlayStation 3
4.00,Call of Duty: Modern Warfare 2,1.80,821,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00,5030917070990,PlayStation 3
8.00,FIFA 15,1.90,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,5030937112373,PlayStation 3
10.00,Uncharted 3: Traicion de Drake,4.00,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,6.00,711719123996,PlayStation 3
2.00,FIFA 14,0.30,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,5030933111103,PlayStation 3
6.00,Gran Turismo 5,1.40,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,711719190059,PlayStation 3
0.25,FIFA 13,0.01,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,5030934109680,PlayStation 3
15.00,Minecraft,6.00,821,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,9.00,711719412915,PlayStation 3
22.00,FIFA 16,5.00,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,5030946112869,PlayStation 3
18.00,Uncharted: Golden Abyss,8.00,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,11.00,711719200628,PlayStation Vita
18.00,Minecraft,8.00,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,11.00,711719438519,PlayStation Vita
22.00,Call of Duty Black Ops- Declassified,10.00,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,5030917114083,PlayStation Vita
22.00,Jak And Daxter Trilogy,10.00,990,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,14.00,711719236467,PlayStation Vita
6.00,Space Hulk,2.00,990,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,3.00,5055377602352,PlayStation Vita
5.00,Invizimals - La Alianza,1.20,990,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.90,711719287667,PlayStation Vita
18.00,Need For Speed: Most Wanted 12,8.00,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,11.00,5030934109192,PlayStation Vita
22.00,FIFA 15,10.00,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,14.00,5035225113223,PlayStation Vita
15.00,Assassin's Creed III (3): Liberation,7.00,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,9.00,3307215652312,PlayStation Vita
18.00,Killzone Mercenary,8.00,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,11.00,711719251163,PlayStation Vita
18.00,Gravity Rush,8.00,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,11.00,711719241638,PlayStation Vita
12.00,FIFA 14,5.00,990,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,7.00,5030939111404,PlayStation Vita
6.00,FIFA 13,1.40,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,2.00,5030934109901,PlayStation Vita
12.00,Resistance: Burning Skies,5.00,990,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,7.00,711719200147,PlayStation Vita
12.00,Amazing Spider-Man,5.00,990,/product_images/Juegos/PS Vita Juegos/5030917132049_s.jpg,7.00,5030917132049,PlayStation Vita
4.00,Grand Theft Auto Vice City Stories,0.80,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.40,5026555280785,PSP
4.00,Grand Theft Auto: Liberty City Stories,0.80,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.40,5026555280143,PSP
3.00,God of War: Chains of Olympus,0.40,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,711719908128,PSP
4.00,Assassin's Creed: Bloodlines,0.80,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.40,3307211667679,PSP
0.50,Invizimals La Otra Dimension (Solo Juego,0.01,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,711719169772,PSP
3.00,Gran Turismo,0.40,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,711719151159,PSP
3.00,Daxter,0.40,862,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,711719646266,PSP
0.50,Invizimals (Solo Juego),0.01,862,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.10,711719142058,PSP
3.00,Tekken Dark Resurrection,0.40,862,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.90,711719660071,PSP
3.00,Ratchet & Clank: El Tamano Importa,0.40,862,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,711719651888,PSP
4.00,Medievil: Resurreccion,0.80,862,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,1.40,711719678250,PSP
3.00,Dragon Ball Z Shin Budokai 2,0.40,862,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,0.90,3296580803354,PSP
1.50,Pro Evolution Soccer 2012,0.20,862,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.40,4012927065174,PSP
0.50,Invizimals: Las tribus perdidas,0.01,862,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.10,8414646244995,PSP
4.50,God of War: Ghost of Sparta,0.90,862,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,1.60,711719168171,PSP
