sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
5051893041279,834,Super ScribbleNauts,5.00,Nintendo DS,3.00,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,8.00
8436010150671,830,Imperium III,0.70,PC,0.30,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,2.50
5030917181603,830,Call Of Duty: Black Ops III (P),22.00,PC,15.00,/product_images/Juegos/PC Juegos/5030917181603_s.jpg,35.00
8414185051528,830,Los Sims 2 (SN),3.00,PC,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00
8436016710770,830,"Whispered World, The - Edición Especial",0.90,PC,0.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50
8436010150572,830,Imperium II,0.60,PC,0.30,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,2.00
3307210181862,830,Splinter Cell,0.10,PC,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.50
3307210245281,830,Age of Empires Collectors Edition,5.00,PC,3.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,15.00
8436016710787,830,Blackguards,0.60,PC,0.30,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,2.00
8436010151371,830,Imperium Civitas,0.40,PC,0.20,/product_images/Juegos/PC Juegos/8436010151371_s.jpg,1.50
5060193302294,830,Warhammer 40000 - Armageddon (SN),0.30,PC,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00
8414185032879,830,Los Sims 2 Mascotas Expansion (SN),0.60,PC,0.30,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,2.00
8420266991255,830,"Longest Journey, The (4 Discs)",0.20,PC,0.10,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.75
3307211609143,830,Prince of Persia (2008),0.10,PC,0.01,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.50
3307210153470,830,Beyond Good & Evil,0.10,PC,0.01,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.50
8414185032411,830,Los Sims 2 Abren Negocios (SN)(CD),0.40,PC,0.20,/product_images/Juegos/PC Juegos/8414185032411_s.jpg,1.50
5026555410267,821,Grand Theft Auto V (5),9.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00
5030917111761,821,Call Of Duty: Black Ops II,5.00,PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00
5030917096808,821,Call Of Duty: Modern Warfare 3,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,6.00
5026555400251,821,Grand Theft Auto IV,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00
5030917085802,821,Call Of Duty: Black Ops,5.00,PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,8.00
5030917126116,821,Call Of Duty: Ghosts,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,6.00
5030917070990,821,Call of Duty: Modern Warfare 2,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,6.00
711719190059,821,Gran Turismo 5,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00
5030946112869,821,FIFA 16,13.00,PlayStation 3,9.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00
5030937112373,821,FIFA 15,5.00,PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00
5030934109680,821,FIFA 13,0.01,PlayStation 3,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.25
3307215793299,821,Far Cry 4,9.00,PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,15.00
5021290042377,821,Deus Ex: Human Revolution,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5021290042377_s.jpg,6.00
5030933111103,821,FIFA 14,0.60,PlayStation 3,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00
5030934102902,821,Battlefield 3,3.00,PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5.00
5030917114083,990,Call of Duty Black Ops- Declassified,11.00,PlayStation Vita,8.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,18.00
711719438519,990,Minecraft,7.00,PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,12.00
711719251163,990,Killzone Mercenary,11.00,PlayStation Vita,8.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,18.00
5035225113223,990,FIFA 15,16.00,PlayStation Vita,12.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,25.00
5030934109192,990,Need For Speed: Most Wanted 12,9.00,PlayStation Vita,7.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00
711719200628,990,Uncharted: Golden Abyss,11.00,PlayStation Vita,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,18.00
5030939111404,990,FIFA 14,7.00,PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,12.00
5030934109901,990,FIFA 13,1.90,PlayStation Vita,1.20,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5.00
5055277016259,990,Virtua Tennis 4: Edicion World Tour,7.00,PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,12.00
5021290057791,990,Final Fantasy X HD Only,9.00,PlayStation Vita,7.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,15.00
3307215916520,990,Assassins Creed Chronicles,9.00,PlayStation Vita,7.00,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,15.00
3307215652312,990,Assassin's Creed III (3): Liberation,7.00,PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,12.00
711719292852,990,Soul Sacrifice,6.00,PlayStation Vita,4.00,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,10.00
5051893143447,990,Lego Marvel Superheroes,7.00,PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,12.00
5051893229387,990,LEGO Star Wars: El Despertar De La Fuerza (Episodio 7),11.00,PlayStation Vita,8.00,/product_images/Juegos/PS Vita Juegos/5051893229387_s.jpg,18.00
5026555280143,862,Grand Theft Auto: Liberty City Stories,1.40,PSP,0.80,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,4.00
5026555280785,862,Grand Theft Auto Vice City Stories,1.40,PSP,0.80,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,4.00
711719646266,862,Daxter,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00
711719651888,862,Ratchet & Clank: El Tamano Importa,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00
4012927064740,862,Pro Evolution Soccer (PES) 2011,0.30,PSP,0.10,/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,1.00
711719660071,862,Tekken Dark Resurrection,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00
711719908128,862,God of War: Chains of Olympus,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00
711719151159,862,Gran Turismo,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00
711719738657,862,Play Chapas,0.10,PSP,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50
711719169772,862,Invizimals La Otra Dimension (Solo Juego,0.10,PSP,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.50
711719142058,862,Invizimals (Solo Juego),0.10,PSP,0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50
3307211667679,862,Assassin's Creed: Bloodlines,1.40,PSP,0.80,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,4.00
5030917038426,862,Call of Duty: Roads to Victory,0.90,PSP,0.40,/product_images/Juegos/PSP Juegos/5030917038426_s.jpg,3.00
5030934067263,862,FIFA 09,0.10,PSP,0.01,/product_images/Juegos/PSP Juegos/5030934067263_s.jpg,0.50
8414646244995,862,Invizimals: Las tribus perdidas,0.10,PSP,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.50
045496365202,831,Mario Kart Wii (Solo Juego),11.00,Wii,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00
045496368098,831,New Super Mario Bros. Wii,11.00,Wii,8.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,18.00
4260231341471,831,La Voz 2wi,6.00,Wii,4.00,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,10.00
045496363932,831,Super Mario Galaxy,9.00,Wii,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00
045496367299,831,Inazuma Eleven Strikers,4.00,Wii,2.00,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,12.00
045496367473,831,Wii Sports Resort (Solo Juego),3.00,Wii,2.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,10.00
045496365899,831,Super Smash Bros. Brawl,9.00,Wii,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00
045496362393,831,Legend of Zelda: Twilight Princess,9.00,Wii,6.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,15.00
045496362201,831,Wii Play (solo juego),2.00,Wii,1.80,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,4.00
045496366575,831,Animal Crossing Lets Go To The City (Solo Juego),5.00,Wii,3.00,/product_images/Juegos/Wii Juegos/045496366575_s.jpg,8.00
045496363086,831,Mario Strikers Charged Football,5.00,Wii,3.00,/product_images/Juegos/Wii Juegos/045496363086_s.jpg,8.00
045496368869,831,Super Mario Galaxy 2,12.00,Wii,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,20.00
5055277013692,831,Mario y Sonic en los JJ.OO London 12,11.00,Wii,8.00,/product_images/Juegos/Wii Juegos/5055277013692_s.jpg,18.00
045496337087,996,Legend of Zelda: Breath of the Wild,45.00,Wii U,40.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,58.00
045496333288,996,Mario Kart 8,13.00,Wii U,9.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,22.00
045496332785,996,Super Mario 3D World,12.00,Wii U,9.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,20.00
045496333621,996,Super Smash Bros,17.00,Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,28.00
045496331207,996,New Super Mario Bros. U,7.00,Wii U,5.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,12.00
045496331085,996,Nintendo Land,5.00,Wii U,3.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,8.00
045496332198,996,New Super Mario Bros. U & Super Luigi U,9.00,Wii U,6.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,15.00
3307215654293,996,ZombiU,3.00,Wii U,2.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00
0045496332303,996,Legend Of Zelda: Wind Waker HD,13.00,Wii U,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,22.00
045496334987,996,Super Mario Maker,17.00,Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,28.00
045496334475,996,Splatoon,13.00,Wii U,9.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,22.00
0045496335618,996,Pokken Tournament (No Mewtwo Card),17.00,Wii U,12.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,28.00
045496334161,996,Mario Party 10,9.00,Wii U,6.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,15.00
3307215655184,996,Rayman Legends,11.00,Wii U,8.00,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,18.00
5030917114014,996,Call Of Duty: Black Ops II,2.00,Wii U,2.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,4.50
5026555258098,827,Grand Theft Auto V (5) 2 Disco,12.00,Xbox 360,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00
5030917147685,827,Call Of Duty: Advanced Warfare (2 Disc),9.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,15.00
3307215705728,827,Assassin's Creed 4: Black Flag (2 Disc),9.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg,15.00
5035228112377,827,FIFA 15,7.00,Xbox 360,5.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00
