titulo,categoria_id,precio_compra,precio_intercambio,categoria_str,img_caratula,sku,precio_venta
Warhammer 40000 - Armageddon (SN),830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,1.00
"Whispered World, The - Edición Especial",830,0.40,0.70,PC,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,2.00
Splinter Cell,830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,0.25
Divinity: Original Sin (P),830,1.20,1.90,PC,/product_images/Juegos/PC Juegos/740781770142_s.jpg,740781770142,5.00
Yesterday Origins (P),830,2.00,4.00,PC,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,3760156481111,12.00
Crookz: The Big Heist (P),830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,4260089416710,0.15
Stasis,830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,1.00
Imperium III,830,0.50,1.00,PC,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,3.50
Blackguards,830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,1.00
Los Sims 2 (SN),830,2.00,4.00,PC,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,12.00
Age of Empires (Gold Edition),830,0.90,1.60,PC,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,3307210148971,4.50
Duck Tales Remastered,830,0.10,0.20,PC,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,5055060972328,0.75
CSI: Crime Scene Investigation,830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,3307210136817,0.10
Skyhill,830,0.10,0.10,PC,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,8414606866984,0.50
Los Sims Animales A Raudales (SN) (2 CDS),830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/8414185050873_s.jpg,8414185050873,0.10
Grand Theft Auto V (5),821,8.00,11.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,18.00
Call Of Duty: Modern Warfare 3,821,1.80,2.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,4.00
Call Of Duty: Black Ops II,821,3.00,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,15.00
Call of Duty: Modern Warfare 2,821,1.80,2.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,4.00
Call Of Duty: Ghosts,821,1.80,2.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,4.00
Grand Theft Auto IV,821,2.00,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,5.00
Call Of Duty: Advanced Warfare,821,5.00,7.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,12.00
Call Of Duty: Black Ops,821,3.00,4.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,7.00
FIFA 13,821,0.01,0.01,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,0.25
FIFA 15,821,1.90,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,8.00
FIFA 14,821,0.30,0.60,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,2.00
Gran Turismo 5,821,1.40,2.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,6.00
Battlefield 3,821,1.20,1.90,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5030934102902,5.00
Uncharted 3: Traicion de Drake,821,4.00,6.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,10.00
Battlefield 4,821,3.00,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030930111137_s.jpg,5030930111137,8.00
Uncharted: Golden Abyss,990,8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,18.00
FIFA 13,990,1.40,2.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,6.00
Call of Duty Black Ops- Declassified,990,10.00,14.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,22.00
FIFA 14,990,5.00,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,12.00
Minecraft,990,8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,18.00
FIFA 15,990,10.00,14.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,22.00
Killzone Mercenary,990,8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,18.00
Assassin's Creed III (3): Liberation,990,7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,15.00
Need For Speed: Most Wanted 12,990,8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,18.00
Virtua Tennis 4: Edicion World Tour,990,8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5055277016259,18.00
Invizimals - La Alianza,990,1.20,1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,5.00
Soul Sacrifice,990,7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,711719292852,15.00
Final Fantasy X HD Only,990,9.00,13.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,5021290057791,20.00
