categoria_str,categoria_id,img_caratula,precio_compra,sku,precio_venta,precio_intercambio,titulo
Nintendo DS,834,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.20,045496470647,5.00,1.90,Inazuma Eleven
PC,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.30,8436010150671,2.50,0.70,Imperium III
PC,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,3307210181862,0.50,0.10,Splinter Cell
PC,830,/product_images/Juegos/PC Juegos/5030917181603_s.jpg,15.00,5030917181603,35.00,22.00,Call Of Duty: Black Ops III (P)
PC,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.50,8436016710770,2.50,0.90,"Whispered World, The - Edición Especial"
PC,830,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00,8414185051528,10.00,3.00,Los Sims 2 (SN)
PC,830,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,3.00,3307210245281,15.00,5.00,Age of Empires Collectors Edition
PC,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,8436016710787,2.00,0.60,Blackguards
PC,830,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.01,3307210153470,0.50,0.10,Beyond Good & Evil
PC,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.30,8436010150572,2.00,0.60,Imperium II
PC,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.20,8436010150275,1.50,0.40,Imperium
PC,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,8414606866977,2.00,0.60,Stasis
PC,830,/product_images/Juegos/PC Juegos/8436010151371_s.jpg,0.20,8436010151371,1.50,0.40,Imperium Civitas
PC,830,/product_images/Juegos/PC Juegos/8436010150930_s.jpg,0.01,8436010150930,0.50,0.10,Panzers II (SN) 1DVD
PC,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.10,5060193302294,1.00,0.30,Warhammer 40000 - Armageddon (SN)
PC,830,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.01,3307211609143,0.50,0.10,Prince of Persia (2008)
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,6.00,5026555410267,15.00,9.00,Grand Theft Auto V (5)
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00,5026555400251,6.00,3.00,Grand Theft Auto IV
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,3.00,5030917111761,15.00,5.00,Call Of Duty: Black Ops II
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,5030917096808,6.00,3.00,Call Of Duty: Modern Warfare 3
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00,5030917085802,8.00,5.00,Call Of Duty: Black Ops
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,711719190059,6.00,3.00,Gran Turismo 5
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,5030937112373,8.00,5.00,FIFA 15
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,9.00,5030946112869,22.00,13.00,FIFA 16
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,5030917126116,6.00,3.00,Call Of Duty: Ghosts
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,5030934109680,0.25,0.01,FIFA 13
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00,5030917070990,6.00,3.00,Call of Duty: Modern Warfare 2
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,6.00,5030917147906,15.00,9.00,Call Of Duty: Advanced Warfare
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,2.00,5030934102902,5.00,3.00,Battlefield 3
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5021290042377_s.jpg,2.00,5021290042377,6.00,3.00,Deus Ex: Human Revolution
PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30,5030933111103,2.00,0.60,FIFA 14
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,8.00,5030917114083,18.00,11.00,Call of Duty Black Ops- Declassified
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,5.00,711719438519,12.00,7.00,Minecraft
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,8.00,711719251163,18.00,11.00,Killzone Mercenary
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,12.00,5035225113223,25.00,16.00,FIFA 15
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,7.00,5030934109192,15.00,9.00,Need For Speed: Most Wanted 12
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,8.00,711719200628,18.00,11.00,Uncharted: Golden Abyss
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.20,5030934109901,5.00,1.90,FIFA 13
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5.00,5030939111404,12.00,7.00,FIFA 14
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5.00,5055277016259,12.00,7.00,Virtua Tennis 4: Edicion World Tour
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,7.00,3307215916520,15.00,9.00,Assassins Creed Chronicles
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,7.00,5021290057791,15.00,9.00,Final Fantasy X HD Only
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,5.00,3307215652312,12.00,7.00,Assassin's Creed III (3): Liberation
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,5.00,5051893143447,12.00,7.00,Lego Marvel Superheroes
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,4.00,711719292852,10.00,6.00,Soul Sacrifice
PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,8.00,711719241638,18.00,11.00,Gravity Rush
PSP,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,0.80,5026555280143,4.00,1.40,Grand Theft Auto: Liberty City Stories
PSP,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.40,711719151159,3.00,0.90,Gran Turismo
PSP,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,0.80,5026555280785,4.00,1.40,Grand Theft Auto Vice City Stories
PSP,862,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.40,711719646266,3.00,0.90,Daxter
PSP,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.40,711719908128,3.00,0.90,God of War: Chains of Olympus
PSP,862,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.40,711719651888,3.00,0.90,Ratchet & Clank: El Tamano Importa
PSP,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,0.80,3307211667679,4.00,1.40,Assassin's Creed: Bloodlines
PSP,862,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.01,711719738657,0.50,0.10,Play Chapas
PSP,862,/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,0.10,4012927064740,1.00,0.30,Pro Evolution Soccer (PES) 2011
PSP,862,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.40,711719660071,3.00,0.90,Tekken Dark Resurrection
PSP,862,/product_images/Juegos/PSP Juegos/5030934067263_s.jpg,0.01,5030934067263,0.50,0.10,FIFA 09
PSP,862,/product_images/Juegos/PSP Juegos/8673545455588_s.jpg,0.20,8673545455588,1.50,0.40,Los Sims 2 Mascotas
PSP,862,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,0.90,5030934059435,4.50,1.60,Los Simpson - El Videojuego
PSP,862,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,0.40,5030934104319,3.00,0.90,FIFA 12
PSP,862,/product_images/Juegos/PSP Juegos/711719195399_s.jpg,0.20,711719195399,1.50,0.40,"Geronimo Stilton, En El Reino De La Fant"
Wii,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,8.00,045496365202,18.00,11.00,Mario Kart Wii (Solo Juego)
Wii,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,8.00,045496368098,18.00,11.00,New Super Mario Bros. Wii
Wii,831,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,2.00,045496367299,12.00,4.00,Inazuma Eleven Strikers
Wii,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,6.00,045496363932,15.00,9.00,Super Mario Galaxy
Wii,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,2.00,045496367473,10.00,3.00,Wii Sports Resort (Solo Juego)
Wii,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,6.00,045496362393,15.00,9.00,Legend of Zelda: Twilight Princess
Wii,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,6.00,045496365899,15.00,9.00,Super Smash Bros. Brawl
Wii,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,1.80,045496362201,4.00,2.00,Wii Play (solo juego)
Wii,831,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,4.00,4260231341471,10.00,6.00,La Voz 2wi
Wii,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,9.00,045496368869,20.00,12.00,Super Mario Galaxy 2
Wii,831,/product_images/Juegos/Wii Juegos/045496363086_s.jpg,3.00,045496363086,8.00,5.00,Mario Strikers Charged Football
Wii,831,/product_images/Juegos/Wii Juegos/5030934069243_s.jpg,4.00,5030934069243,10.00,6.00,Trivial Pursuit
Wii,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,1.80,045496367916,4.00,2.00,Wii Fit Plus (Solo Juego)
Wii U,996,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,43.00,045496337087,62.00,48.00,Legend of Zelda: Breath of the Wild
Wii U,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,9.00,045496333288,22.00,13.00,Mario Kart 8
Wii U,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,5.00,045496331207,12.00,7.00,New Super Mario Bros. U
Wii U,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,3.00,045496331085,8.00,5.00,Nintendo Land
Wii U,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,9.00,045496332785,20.00,12.00,Super Mario 3D World
Wii U,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,12.00,045496333621,28.00,17.00,Super Smash Bros
Wii U,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,12.00,045496334987,28.00,17.00,Super Mario Maker
Wii U,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,6.00,045496332198,15.00,9.00,New Super Mario Bros. U & Super Luigi U
Wii U,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,9.00,045496334475,22.00,13.00,Splatoon
Wii U,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,8.00,0045496332716,18.00,11.00,Donkey Kong Country: Tropical Freeze
Wii U,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,2.00,3307215654293,5.00,3.00,ZombiU
Wii U,996,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,5.00,045496331740,12.00,7.00,Lego City Undercover
Wii U,996,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,6.00,045496334161,15.00,9.00,Mario Party 10
Wii U,996,/product_images/Juegos/Wii U Juegos/045496333577_s.jpg,11.00,045496333577,25.00,15.00,Hyrule Warriors
Wii U,996,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,2.00,5030917114014,4.50,2.00,Call Of Duty: Black Ops II
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,9.00,5026555258098,20.00,12.00,Grand Theft Auto V (5) 2 Disco
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg,6.00,3307215705728,15.00,9.00,Assassin's Creed 4: Black Flag (2 Disc)
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,6.00,5030917147685,15.00,9.00,Call Of Duty: Advanced Warfare (2 Disc)
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5.00,5035228112377,12.00,7.00,FIFA 15
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,6.00,5030917111679,15.00,9.00,Call Of Duty: Black Ops II
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,2.00,0885370309607,6.00,3.00,Gears of War 3
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,3.00,5055060963852,8.00,5.00,Resident Evil 6 *2 Disc*
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,5.00,0885370606515,12.00,7.00,Minecraft
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,2.00,5030949111104,6.00,3.00,FIFA 14
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,0.90,882224721141,4.00,1.50,Gears of War 2
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,2.00,5030917096891,6.00,3.00,Call Of Duty: Modern Warfare 3
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555256476_s.jpg,3.00,5026555256476,8.00,5.00,Bioshock Infinite
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,3.00,5026555245968,8.00,5.00,Grand Theft Auto IV
Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/3391891984775_s.jpg,9.00,3391891984775,20.00,12.00,Fighting Edition: Tekken 6/Tekken Tag Tournament 2 Y Soul Calibur V
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,8.00,885370662221,18.00,11.00,Ryse: Son Of Rome
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5.00,5030917147791,12.00,7.00,Call Of Duty: Advanced Warfare
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,11.00,5055856406396,25.00,15.00,Fallout 4
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,17.00,5026555284127,38.00,24.00,Grand Theft Auto V (5)
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,13.00,5030917181863,30.00,18.00,Call Of Duty: Black Ops III
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,13.00,0889842121575,30.00,18.00,Gears of War 4
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,32.00,3307215915127,58.00,39.00,For Honor
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,17.00,5035228113763,38.00,24.00,Battlefield 1
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,45.00,5030941116398,65.00,50.00,Mass Effect: Andrómeda (Sin DLC)
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,11.00,885370984750,25.00,15.00,Rise Of The Tomb Raider
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,18.00,5030937116425,42.00,26.00,FIFA 17
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,3.00,5030917124358,8.00,5.00,Destiny
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,6.00,85370663983,15.00,9.00,Dead Rising 3
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,11.00,5026555297356,25.00,15.00,Mafia III
Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,4.00,885370951844,10.00,6.00,Gears Of War: Ultimate Edition
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,15.00,3307215889121,35.00,22.00,Rainbow Six: Siege
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,6.00,3307215803530,15.00,9.00,Assassin's Creed: Unity
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,9.00,3307215938782,22.00,13.00,Far Cry Primal
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,2.00,3307215732939,12.00,4.00,Watch Dogs
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,21.00,3307215914946,48.00,30.00,For Honor (No DLC)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,14.00,5021290072985,32.00,20.00,Final Fantasy XV
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5.00,5030917148019,22.00,8.00,Call Of Duty: Advanced Warfare
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,14.00,711719407515,32.00,20.00,"Last of Us, The - Remastered"
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,40.00,5030941116350,65.00,47.00,Mass Effect: Andrómeda (Sin DLC)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,2.00,5030917124549,10.00,3.00,Destiny
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,14.00,711719838951,32.00,20.00,"Last Guardian, The"
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,6.00,4012927100417,15.00,9.00,Metal Gear Solid V: The Phantom Pain
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,9.00,5055856406242,22.00,13.00,Fallout 4
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,4.00,3307215793633,18.00,6.00,Far Cry 4
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,9.00,5051893179637,20.00,12.00,Batman: Arkham Knight
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,17.00,4012927102336,38.00,24.00,Pro Evolution Soccer 2017
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,15.00,711719866534,35.00,22.00,Uncharted: The Nathan Drake Collection
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,13.00,711719439912,30.00,18.00,Minecraft
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,13.00,3391891979016,30.00,18.00,Witcher 3: Wild Hunt
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,8.00,3307215715239,18.00,11.00,Assassin's Creed 4: Black Flag
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,12.00,711719874737,28.00,17.00,Until Dawn
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,0.70,5030947112387,5.00,1.50,FIFA 15
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,8.00,5055856403418,18.00,11.00,Doom (2016)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,11.00,3307215977453,25.00,15.00,Assassin's Creed: The Ezio Collection
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,24.00,711719817963,55.00,34.00,Nioh
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,6.00,711719277071,15.00,9.00,DriveClub
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,12.00,5035223113737,28.00,17.00,Need For Speed (2015)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290069060_s.jpg,9.00,5021290069060,20.00,12.00,Deus Ex: Mankind Divided
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,2.00,711719275473,12.00,4.00,Killzone: Shadow Fall
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,4.00,5026555421256,18.00,6.00,NBA 2K16
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,14.00,3391891980685,32.00,20.00,Dragon Ball: Xenoverse
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,11.00,0711719800415,25.00,15.00,Bloodborne
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,12.00,5030932116925,28.00,17.00,Titanfall 2
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,9.00,711719843337,22.00,13.00,God of War 3 - Remasterizado
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917126215_s.jpg,4.00,5030917126215,18.00,6.00,Call Of Duty: Ghosts
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,12.00,5021290069459,28.00,17.00,Just Cause 3
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,13.00,5051893165128,30.00,18.00,"Tierra-Media, La: Sombras De Mordor"
