sku,precio_intercambio,img_caratula,precio_venta,categoria_id,titulo,precio_compra,categoria_str
8436016710770,0.90,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50,830,"Whispered World, The - Edición Especial",0.50,PC
8436010150275,0.40,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50,830,Imperium,0.20,PC
8436010150572,0.30,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,1.00,830,Imperium II,0.10,PC
3307210245281,5.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,14.00,830,Age of Empires Collectors Edition,3.00,PC
3307211657861,0.30,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,1.00,830,Call of Juarez: Bound in Blood,0.10,PC
8414185051528,3.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00,830,Los Sims 2 (SN),2.00,PC
3307210217493,0.30,/product_images/Juegos/PC Juegos/3307210217493_s.jpg,1.00,830,Heroes of Might & Magic V (SN),0.10,PC
8436010150527,0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.25,830,Torrente El Juego,0.01,PC
3307210220134,0.20,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.75,830,Splinter Cell Chaos Theory,0.10,PC
3307210249555,0.01,/product_images/Juegos/PC Juegos/3307210249555_s.jpg,0.25,830,Ghost Recon Advanced Warfighter 2,0.01,PC
8436010150398,0.01,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.10,830,"Runaway, A Road To Adventure",0.01,PC
8436010150671,0.90,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,3.00,830,Imperium III,0.40,PC
5060193302294,0.60,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,2.00,830,Warhammer 40000 - Armageddon (SN),0.30,PC
8414185050408,0.01,/product_images/Juegos/PC Juegos/8414185050408_s.jpg,0.10,830,Los Sims Primera Cita (SN) 1cd,0.01,PC
8414606866977,0.60,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,2.00,830,Stasis,0.30,PC
5026555410267,9.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00,821,Grand Theft Auto V (5),6.00,PlayStation 3
5030937112373,4.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,7.00,821,FIFA 15,3.00,PlayStation 3
5030917111761,4.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,12.00,821,Call Of Duty: Black Ops II,2.00,PlayStation 3
5030917126116,3.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5.00,821,Call Of Duty: Ghosts,2.00,PlayStation 3
5030917096808,3.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5.00,821,Call Of Duty: Modern Warfare 3,2.00,PlayStation 3
5030933111103,0.60,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00,821,FIFA 14,0.30,PlayStation 3
5026555400251,3.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00,821,Grand Theft Auto IV,2.00,PlayStation 3
5030917085802,4.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,7.00,821,Call Of Duty: Black Ops,3.00,PlayStation 3
5030946112869,8.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00,821,FIFA 16,5.00,PlayStation 3
711719190059,1.50,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,4.00,821,Gran Turismo 5,0.90,PlayStation 3
711719412915,7.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,12.00,821,Minecraft,5.00,PlayStation 3
711719123996,5.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,8.00,821,Uncharted 3: Traicion de Drake,3.00,PlayStation 3
3307215644867,3.00,/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,6.00,821,Assassin's Creed III (3),2.00,PlayStation 3
5030934109680,0.20,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.75,821,FIFA 13,0.10,PlayStation 3
3307215793299,8.00,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,14.00,821,Far Cry 4,6.00,PlayStation 3
711719438519,11.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,18.00,990,Minecraft,8.00,PlayStation Vita
5030917114083,14.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,22.00,990,Call of Duty Black Ops- Declassified,10.00,PlayStation Vita
711719287667,1.90,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,5.00,990,Invizimals - La Alianza,1.20,PlayStation Vita
5030934109901,1.50,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,4.00,990,FIFA 13,0.90,PlayStation Vita
5035225113223,16.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,25.00,990,FIFA 15,12.00,PlayStation Vita
711719200628,11.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,18.00,990,Uncharted: Golden Abyss,8.00,PlayStation Vita
5030934109192,9.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00,990,Need For Speed: Most Wanted 12,7.00,PlayStation Vita
3307215652312,9.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,15.00,990,Assassin's Creed III (3): Liberation,7.00,PlayStation Vita
5021290057791,13.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,20.00,990,Final Fantasy X HD Only,9.00,PlayStation Vita
5030939111404,6.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,10.00,990,FIFA 14,4.00,PlayStation Vita
711719200147,11.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,18.00,990,Resistance: Burning Skies,8.00,PlayStation Vita
5051893143447,9.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,15.00,990,Lego Marvel Superheroes,7.00,PlayStation Vita
711719236542,6.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,10.00,990,Little Big Planet,4.00,PlayStation Vita
711719241638,9.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,15.00,990,Gravity Rush,7.00,PlayStation Vita
711719251163,11.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,18.00,990,Killzone Mercenary,8.00,PlayStation Vita
5026555280143,1.80,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5.00,862,Grand Theft Auto: Liberty City Stories,1.00,PSP
5026555280785,1.80,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5.00,862,Grand Theft Auto Vice City Stories,1.00,PSP
8414646244995,0.10,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.50,862,Invizimals: Las tribus perdidas,0.01,PSP
711719646266,0.90,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00,862,Daxter,0.40,PSP
711719151159,0.90,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00,862,Gran Turismo,0.40,PSP
3307211667679,1.80,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,5.00,862,Assassin's Creed: Bloodlines,1.00,PSP
711719651888,0.90,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00,862,Ratchet & Clank: El Tamano Importa,0.40,PSP
711719169772,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.25,862,Invizimals La Otra Dimension (Solo Juego,0.01,PSP
711719738657,0.10,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50,862,Play Chapas,0.01,PSP
711719231219,1.40,/product_images/Juegos/PSP Juegos/711719231219_s.jpg,4.00,862,Cars 2,0.80,PSP
4012927065174,0.60,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,2.00,862,Pro Evolution Soccer 2012,0.30,PSP
4012927066225,1.20,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,4.00,862,Pro Evolution Soccer (PES) 2013,0.60,PSP
711719660071,0.90,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00,862,Tekken Dark Resurrection,0.40,PSP
711719908128,0.90,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00,862,God of War: Chains of Olympus,0.40,PSP
3296580803354,1.80,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,5.00,862,Dragon Ball Z Shin Budokai 2,1.00,PSP
045496365202,11.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00,831,Mario Kart Wii (Solo Juego),8.00,Wii
045496368098,15.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,25.00,831,New Super Mario Bros. Wii,11.00,Wii
