precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
0.40,0.70,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,830,8436016710770,"Whispered World, The - Edición Especial",PC,2.00
0.10,0.30,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,830,5060193302294,Warhammer 40000 - Armageddon (SN),PC,1.00
0.01,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,830,3307210181862,Splinter Cell,PC,0.25
0.10,0.30,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,830,8436016710787,Blackguards,PC,1.00
0.40,0.70,/product_images/defimg4_s.jpg,830,4260089416369,Tropico Dictator Pack (P),PC,2.00
0.10,0.30,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,830,8414606866977,Stasis,PC,1.00
0.10,0.20,/product_images/Juegos/PC Juegos/3307211664050_s.jpg,830,3307211664050,Word in conflict - Complete Edition,PC,0.75
0.20,0.40,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,8436010150275,Imperium,PC,1.50
2.00,4.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,830,3307210245281,Age of Empires Collectors Edition,PC,12.00
0.50,1.00,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,830,8436010150671,Imperium III,PC,3.50
0.01,0.10,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,830,3307210220134,Splinter Cell Chaos Theory,PC,0.50
2.00,4.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,830,8414185051528,Los Sims 2 (SN),PC,12.00
0.01,0.01,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,830,8436010150398,"Runaway, A Road To Adventure",PC,0.25
0.01,0.01,/product_images/defimg3_s.jpg,830,8436010150541,PATRICIAN II,PC,0.10
0.01,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,830,4260089416710,Crookz: The Big Heist (P),PC,0.15
8.00,11.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,821,5026555410267,Grand Theft Auto V (5),PlayStation 3,18.00
1.80,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,821,5030917096808,Call Of Duty: Modern Warfare 3,PlayStation 3,4.00
1.80,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,821,5030917126116,Call Of Duty: Ghosts,PlayStation 3,4.00
3.00,5.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,821,5030917111761,Call Of Duty: Black Ops II,PlayStation 3,15.00
2.00,3.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,821,5026555400251,Grand Theft Auto IV,PlayStation 3,5.00
3.00,4.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,821,5030917085802,Call Of Duty: Black Ops,PlayStation 3,7.00
0.01,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,821,5030934109680,FIFA 13,PlayStation 3,0.25
5.00,7.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,821,5030917147906,Call Of Duty: Advanced Warfare,PlayStation 3,12.00
1.80,2.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,821,5030917070990,Call of Duty: Modern Warfare 2,PlayStation 3,4.00
0.30,0.60,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,821,5030933111103,FIFA 14,PlayStation 3,2.00
1.90,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,821,5030937112373,FIFA 15,PlayStation 3,8.00
1.40,2.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,821,711719190059,Gran Turismo 5,PlayStation 3,6.00
4.00,6.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,821,711719123996,Uncharted 3: Traicion de Drake,PlayStation 3,10.00
6.00,9.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,821,711719412915,Minecraft,PlayStation 3,15.00
9.00,13.00,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg,821,5030917162459,Call Of Duty: Black Ops III,PlayStation 3,22.00
8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,990,711719200628,Uncharted: Golden Abyss,PlayStation Vita,18.00
1.40,2.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,990,5030934109901,FIFA 13,PlayStation Vita,6.00
1.20,1.90,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,990,711719287667,Invizimals - La Alianza,PlayStation Vita,5.00
8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,990,711719438519,Minecraft,PlayStation Vita,18.00
10.00,14.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,990,5030917114083,Call of Duty Black Ops- Declassified,PlayStation Vita,22.00
7.00,9.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,990,3307215652312,Assassin's Creed III (3): Liberation,PlayStation Vita,15.00
3.00,5.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,990,711719236542,Little Big Planet,PlayStation Vita,8.00
8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,990,711719251163,Killzone Mercenary,PlayStation Vita,18.00
9.00,13.00,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,990,711719279488,God Of War Collection,PlayStation Vita,20.00
5.00,7.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,990,5030939111404,FIFA 14,PlayStation Vita,12.00
10.00,14.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,990,5035225113223,FIFA 15,PlayStation Vita,22.00
9.00,13.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,990,5021290057791,Final Fantasy X HD Only,PlayStation Vita,20.00
5.00,7.00,/product_images/Juegos/PS Vita Juegos/5051893218442_s.jpg,990,5051893218442,LEGO Marvel Vengadores,PlayStation Vita,12.00
8.00,11.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,990,5055277016259,Virtua Tennis 4: Edicion World Tour,PlayStation Vita,18.00
5.00,7.00,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,990,4020628900403,Aventuras De Tadeo Jones,PlayStation Vita,12.00
0.80,1.40,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,862,5026555280785,Grand Theft Auto Vice City Stories,PSP,4.00
0.80,1.40,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,862,3307211667679,Assassin's Creed: Bloodlines,PSP,4.00
0.80,1.40,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,862,711719678250,Medievil: Resurreccion,PSP,4.00
0.80,1.40,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,862,5026555280143,Grand Theft Auto: Liberty City Stories,PSP,4.00
0.40,0.90,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,862,711719151159,Gran Turismo,PSP,3.00
0.30,0.70,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,862,711719143451,Little Big Planet,PSP,2.50
0.01,0.10,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,862,711719169772,Invizimals La Otra Dimension (Solo Juego,PSP,0.50
0.01,0.10,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,862,711719142058,Invizimals (Solo Juego),PSP,0.50
0.40,0.90,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,862,711719646266,Daxter,PSP,3.00
0.90,1.60,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,862,5030934059435,Los Simpson - El Videojuego,PSP,4.50
0.40,0.90,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,862,711719660071,Tekken Dark Resurrection,PSP,3.00
1.20,2.00,/product_images/Juegos/PSP Juegos/023272001964_s.jpg,862,023272001964,Star Wars Battlefront II,PSP,6.00
0.10,0.30,/product_images/Juegos/PSP Juegos/711719605485_s.jpg,862,711719605485,Killzone Liberation,PSP,1.00
0.01,0.10,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,862,711719738657,Play Chapas,PSP,0.50
0.40,0.90,/product_images/Juegos/PSP Juegos/3307210205292_s.jpg,862,3307210205292,Prince Of Persia Revelations,PSP,3.00
8.00,11.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,831,045496365202,Mario Kart Wii (Solo Juego),Wii,18.00
1.80,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,831,045496362201,Wii Play (solo juego),Wii,4.00
