precio_compra,precio_intercambio,categoria_str,img_caratula,precio_venta,sku,titulo,categoria_id
0.40,0.70,PC,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.00,8436016710770,"Whispered World, The - Edición Especial",830
0.20,0.40,PC,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,1.50,8436010150572,Imperium II,830
2.00,4.00,PC,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,12.00,8414185051528,Los Sims 2 (SN),830
0.01,0.01,PC,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.10,8436010150527,Torrente El Juego,830
0.10,0.30,PC,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00,5060193302294,Warhammer 40000 - Armageddon (SN),830
0.10,0.30,PC,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,1.00,8414606866977,Stasis,830
0.01,0.01,PC,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.15,4260089416710,Crookz: The Big Heist (P),830
0.01,0.01,PC,/product_images/Juegos/PC Juegos/8414185050873_s.jpg,0.10,8414185050873,Los Sims Animales A Raudales (SN) (2 CDS),830
0.20,0.40,PC,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50,8436010150275,Imperium,830
0.01,0.01,PC,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.25,3307210181862,Splinter Cell,830
0.10,0.20,PC,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,0.75,5055060972328,Duck Tales Remastered,830
0.01,0.10,PC,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.50,3307210220134,Splinter Cell Chaos Theory,830
0.01,0.01,PC,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.25,8420266991255,"Longest Journey, The (4 Discs)",830
0.50,1.00,PC,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,3.50,8436010150671,Imperium III,830
0.01,0.01,PC,/product_images/defimg3_s.jpg,0.25,5017783555493,Crazy Taxi,830
6.00,9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00,5026555410267,Grand Theft Auto V (5),821
2.00,4.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,12.00,5030917111761,Call Of Duty: Black Ops II,821
2.00,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5.00,5030917096808,Call Of Duty: Modern Warfare 3,821
2.00,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5.00,5030917126116,Call Of Duty: Ghosts,821
0.30,0.60,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00,5030933111103,FIFA 14,821
3.00,4.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,7.00,5030917085802,Call Of Duty: Black Ops,821
1.60,2.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,7.00,5030937112373,FIFA 15,821
2.00,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00,5026555400251,Grand Theft Auto IV,821
1.20,1.90,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,5.00,711719190059,Gran Turismo 5,821
3.00,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,8.00,711719123996,Uncharted 3: Traicion de Drake,821
0.01,0.10,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.50,5030934109680,FIFA 13,821
5.00,7.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,12.00,5030917147906,Call Of Duty: Advanced Warfare,821
5.00,8.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00,5030946112869,FIFA 16,821
9.00,12.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,20.00,0711719274551,Last Of Us,821
1.20,1.90,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5.00,5030934102902,Battlefield 3,821
2.00,3.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,6.00,5055377602352,Space Hulk,990
8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,18.00,711719438519,Minecraft,990
1.20,1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,5.00,711719287667,Invizimals - La Alianza,990
0.90,1.50,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,4.00,5030934109901,FIFA 13,990
7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,15.00,3307215652312,Assassin's Creed III (3): Liberation,990
