id_genre;genre
33;Arcade
32;Indie
31;Adventure
30;Pinball
26;Quiz/Trivia
25;Hack and slash/Beat 'em up
24;Tactical
16;Turn-based strategy (TBS)
15;Strategy
14;Sport
13;Simulator
12;Role-playing (RPG)
11;Real Time Strategy (RTS)
10;Racing
9;Puzzle
8;Platform
7;Music
5;Shooter
4;Fighting
2;Point-and-click
